UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,7,2013,35,3964450,1969513,1994937,1515650,1488489,255300,286634,27629,26414,125249,143634,5689,5380,39996,44386,1549994,1526465,269446,303658,42767,43072,141105,160940,9951,9987,1545972,1595983,1139625,1137315,237260,266736,14172,14672,121178,139435,3998,3946,29739,33879,1164874,1166071,247204,279052,24284,26312,134395,154099,7338,7648,423541,398954,376025,351174,18040,19898,13457,11742,4071,4199,1691,1434,10257,10507,385120,360394,22242,24606,18483,16760,6710,6841,2613,2339
C,7,2013,36,3927308,1945725,1981583,1497557,1477727,251016,284460,27691,26152,125366,144822,5615,5418,38480,43004,1530740,1514435,264489,300699,42564,42526,140414,161652,9777,10023,1528944,1582871,1127319,1125760,233590,264786,14408,14851,121172,140748,3889,3919,28566,32807,1151689,1153539,242896,276530,24450,26359,133697,154894,7126,7568,416781,398712,370238,351967,17426,19674,13283,11301,4194,4074,1726,1499,9914,10197,379051,360896,21593,24169,18114,16167,6717,6758,2651,2455
C,7,2013,37,3813832,1890011,1923821,1452294,1435051,241471,273421,26733,25236,127401,144711,5210,5132,36902,40270,1484105,1469313,254008,288420,41088,40811,142043,160575,9269,9393,1481011,1531232,1088159,1087572,224634,254343,13743,14012,123413,140698,3673,3748,27389,30859,1111514,1113597,233204,265205,23419,25043,135699,154120,6859,7173,409000,392589,364135,347479,16837,19078,12990,11224,3988,4013,1537,1384,9513,9411,372591,355716,20804,23215,17669,15768,6344,6455,2410,2220
C,7,2013,38,3935536,1953836,1981700,1505217,1482020,248427,280778,26792,25701,132736,149133,5404,4941,35260,39127,1535246,1515252,260301,295029,40807,40936,146730,164679,9318,9001,1540442,1586254,1135189,1130195,232188,262598,13787,14416,128782,145234,3849,3637,26647,30174,1157632,1155569,240595,272903,23370,25229,140705,158569,6991,6900,413394,395446,370028,351825,16239,18180,13005,11285,3954,3899,1555,1304,8613,8953,377614,359683,19706,22126,17437,15707,6025,6110,2327,2101
C,7,2013,39,3816932,1887498,1929434,1454667,1442869,238504,272733,26059,24753,129805,146824,4889,4862,33574,37393,1483246,1474411,249712,286295,39558,39569,143138,161633,8638,8856,1494088,1547236,1101741,1101889,223522,255403,13486,14081,126238,143141,3525,3584,25576,29138,1123293,1126208,231426,265406,22901,24811,137646,155890,6560,6814,393410,382198,352926,340980,14982,17330,12573,10672,3567,3683,1364,1278,7998,8255,359953,348203,18286,20889,16657,14758,5492,5743,2078,2042
C,7,2013,40,3880425,1913466,1966959,1473239,1469857,245994,281678,25751,25127,130277,148514,4894,4802,33311,36981,1501522,1501018,256773,294968,39349,40052,143587,163146,8576,8692,1527282,1587957,1126479,1131593,231317,264687,13657,14441,126745,144749,3561,3589,25523,28898,1147924,1155674,238934,274496,23237,25389,138235,157348,6536,6750,386184,379002,346760,338264,14677,16991,12094,10686,3532,3765,1333,1213,7788,8083,353598,345344,17839,20472,16112,14663,5352,5798,2040,1942
C,7,2013,41,4061304,2006609,2054695,1556678,1548112,255588,291079,26247,25128,130009,148591,4851,4769,33236,37016,1584731,1579268,266192,304078,40262,40595,143048,162940,8578,8720,1623514,1679349,1212376,1212711,241150,274398,14236,14693,126439,144996,3527,3532,25786,29019,1233877,1236870,248817,283944,24390,26136,137693,157461,6552,6765,383095,375346,344302,335401,14438,16681,12011,10435,3570,3595,1324,1237,7450,7997,350854,342398,17375,20134,15872,14459,5355,5479,2026,1955
C,7,2013,42,4299787,2124203,2175584,1665216,1656835,265990,304619,26687,26019,127319,145343,4845,4837,34146,37931,1694123,1688767,276774,317781,41430,42208,140503,159723,8771,9066,1743449,1801896,1323007,1323320,251604,287833,14899,15334,123706,141760,3510,3614,26723,30035,1345411,1348356,259392,297635,25770,27580,135112,154174,6709,7106,380754,373688,342209,333515,14386,16786,11788,10685,3613,3583,1335,1223,7423,7896,348712,340411,17382,20146,15660,14628,5391,5549,2062,1960
C,7,2013,43,4360747,2164570,2196177,1701064,1680346,269752,302167,26845,25832,128289,146068,5021,4942,33599,36822,1729448,1711124,280275,314826,41521,41902,141017,160036,9011,9142,1780957,1828052,1356488,1351265,255111,285994,14766,15572,124713,142385,3707,3748,26172,29088,1378340,1375342,262701,295411,25567,27689,135657,154367,7000,7213,383613,368125,344576,329081,14641,16173,12079,10260,3576,3683,1314,1194,7427,7734,351108,335782,17574,19415,15954,14213,5360,5669,2011,1929
C,7,2013,44,4137585,2050772,2086813,1618954,1605424,250110,281171,25457,24477,120630,137195,4561,4594,31060,33952,1645246,1633850,259432,292456,39531,39810,132340,149857,8137,8377,1693638,1742589,1297611,1297732,236610,265986,14477,14797,117401,133803,3392,3446,24147,26825,1317849,1319972,243186,274225,24878,26451,127505,144771,6328,6573,357134,344224,321343,307692,13500,15185,10980,9680,3229,3392,1169,1148,6913,7127,327397,313878,16246,18231,14653,13359,4835,5086,1809,1804
