Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:
Other nonmetallic mineral product  (NAICS = 3279); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3279.N,IP.G3279.N
Lime and gypsum product  (NAICS = 3274); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3274.S,IP.G3274.S
Lime and gypsum product  (NAICS = 3274); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3274.N,IP.G3274.N
Glass and glass product  (NAICS = 3272); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3272.S,IP.G3272.S
Glass and glass product  (NAICS = 3272); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3272.N,IP.G3272.N
Glass container  (NAICS = 327213); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N327213.S,IP.N327213.S
Glass container  (NAICS = 327213); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N327213.N,IP.N327213.N
Cement and concrete product  (NAICS = 3273); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3273.S,IP.G3273.S
Cement and concrete product  (NAICS = 3273); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3273.N,IP.G3273.N
Cement  (NAICS = 32731); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N32731.S,IP.N32731.S
Cement  (NAICS = 32731); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N32731.N,IP.N32731.N
Concrete and product  (NAICS = 32732-9); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N32732T9.S,IP.N32732T9.S
Concrete and product  (NAICS = 32732-9); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N32732T9.N,IP.N32732T9.N
Primary metal  (NAICS = 331); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G331.S,IP.G331.S
Primary metal  (NAICS = 331); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G331.N,IP.G331.N
"Iron and steel products  (NAICS = 3311,2); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2.S,IP.G3311A2.S
"Iron and steel products  (NAICS = 3311,2); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2.N,IP.G3311A2.N
"Pig iron  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2P.S,IP.N3311A2P.S
"Pig iron  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2P.N,IP.N3311A2P.N
