index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WDU01230102                   ,WDU01230102                   ,"PPI Commodity data for Farm products-Medium grain rice, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2004-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,,,,,,,,,,,,
WDU01310101                   ,WDU01310101                   ,"PPI Commodity data for Farm products-Prime, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1987-M13,,,,,,,,,,,,,,,,,,,,,,37.8,44.2,37.2,41.3,48.0,44.6,33.8,34.6,33.0,31.6,32.7,37.2,37.5,35.4,32.2,36.7,31.0,29.8,33.9,33.9,33.3,36.2,39.6,38.4,43.1,47.3,59.1,55.7,,,61.4,80.3,102.3,101.7,97.0,100.0,96.8,101.5,89.3,89.7,101.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01310111                   ,WDU01310111                   ,"PPI Commodity data for Farm products-Choice, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,39.4,46.8,39.8,45.0,53.5,49.8,36.4,37.1,35.8,33.9,35.9,41.6,42.5,39.8,37.3,41.0,36.2,34.4,38.3,39.1,38.3,41.4,45.3,44.7,50.0,55.3,69.5,65.4,68.7,60.8,62.4,80.9,104.8,104.0,98.9,100.0,97.0,101.4,91.2,89.6,100.3,107.8,112.0,119.9,114.0,,,,,,,,,,,,,,,,,,,,,,,
WDU01310122                   ,WDU01310122                   ,"PPI Commodity data for Farm products-Select, not seasonally adjusted, discontinued",Index base: 1982 = 100,1951-M01,1991-M09,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,48.4,34.1,34.3,33.2,31.3,34.4,41.1,42.6,39.2,37.7,40.4,36.7,33.9,37.4,39.1,38.7,40.8,44.5,44.2,49.3,55.9,70.8,65.3,65.6,60.3,61.1,80.3,105.6,104.4,100.1,100.0,95.6,99.1,89.7,87.5,98.2,112.2,117.4,126.0,,,,,,,,,,,,,,,,,,,,,,,,
WDU01310123                   ,WDU01310123                   ,"PPI Commodity data for Farm products-Standard, not seasonally adjusted, discontinued",Index base: 1967 = 100,1951-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,131.6,114.6,78.3,78.2,74.5,71.2,81.4,101.9,105.7,95.0,92.9,99.1,89.6,82.7,93.1,101.3,100.0,104.6,114.1,114.6,127.1,148.2,191.8,170.0,164.4,159.2,158.2,214.4,280.3,277.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01310231                   ,WDU01310231                   ,"PPI Commodity data for Farm products-Commercial, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,40.6,53.8,44.3,52.3,68.7,54.0,34.9,33.1,32.0,31.7,36.4,48.5,47.4,40.2,39.7,39.4,37.1,33.4,35.6,45.6,42.5,43.4,49.6,52.6,51.5,61.5,82.1,63.7,53.2,65.0,64.3,93.2,123.7,110.4,103.7,100.0,96.9,101.9,93.9,90.7,110.2,112.9,115.4,131.0,121.2,,,,,,,,,,,,,,,,,,,,,,,
WDU01310241                   ,WDU01310241                   ,"PPI Commodity data for Farm products-Cutter, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,30.5,42.6,36.4,42.9,54.5,43.6,28.3,25.2,25.7,26.1,31.1,42.9,42.4,37.5,37.1,36.6,34.5,31.9,32.7,43.3,42.5,44.4,49.0,52.2,50.9,63.1,83.2,63.8,46.4,59.9,62.3,93.0,127.9,115.5,109.3,100.0,98.9,97.8,98.1,93.2,110.8,128.0,132.0,147.7,139.3,,,,,,,,,,,,,,,,,,,,,,,
WDU01310351                   ,WDU01310351                   ,"PPI Commodity data for Farm products-Calves, choice, New York auction, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,61.5,71.3,67.9,76.2,91.6,84.5,61.8,57.3,60.8,58.9,64.0,79.3,73.2,69.2,73.4,72.4,73.0,63.8,66.1,78.8,78.8,82.3,90.6,92.8,93.9,113.0,137.8,111.3,,,61.4,75.6,105.8,103.9,98.7,100.0,95.0,89.3,81.9,76.0,84.0,92.9,94.9,95.0,91.9,,,,,,,,,,,,,,,,,,,,,,,
WDU01310353                   ,WDU01310353                   ,"PPI Commodity data for Farm products-Choice, South St. Paul, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,41.3,39.1,39.1,40.6,38.3,35.4,36.3,42.3,41.5,44.2,50.6,58.0,60.4,71.1,82.6,63.8,53.7,58.4,62.3,90.6,118.5,97.8,99.6,100.0,94.5,82.1,75.3,76.9,102.5,126.7,161.2,136.4,129.9,,,,,,,,,,,,,,,,,,,,,,,
WDU01320161                   ,WDU01320161                   ,"PPI Commodity data for Farm products-Barrows and gilts, 220-240 pounds, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,49.1,47.7,37.2,36.5,40.0,35.8,42.8,43.9,30.7,28.6,35.1,39.3,27.9,31.0,32.9,32.5,30.1,30.0,41.1,46.1,37.7,36.4,43.8,43.5,35.8,51.0,77.3,68.5,92.8,84.2,78.4,90.6,78.0,72.9,80.9,100.0,87.3,88.8,81.4,93.6,93.3,79.6,80.2,99.1,89.1,,,,,,,,,,,,,,,,,,,,,,,
WDU01320171                   ,WDU01320171                   ,"PPI Commodity data for Farm products-Barrows and gilts, 270-300 lb., not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1989-M04,,,,,,,,,,,,,,,,,,,,,,58.5,55.9,44.0,43.4,47.7,42.3,51.3,51.8,35.7,33.9,41.6,46.5,33.1,36.6,39.0,38.0,35.3,34.6,48.6,53.6,44.0,43.3,53.0,51.5,42.3,59.8,91.2,79.9,,97.3,91.6,104.6,88.9,,,,80.1,83.9,79.7,115.4,115.0,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01320281                   ,WDU01320281                   ,"PPI Commodity data for Farm products-Sows, 300-400 pounds, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,51.4,48.7,38.4,39.3,42.9,38.1,46.7,45.9,32.3,30.8,38.6,42.5,28.9,32.6,35.4,34.6,31.9,30.7,44.3,47.8,39.6,39.1,49.1,44.9,37.1,53.7,82.7,68.9,98.6,86.0,81.7,98.1,74.7,74.1,81.5,100.0,83.5,85.8,77.4,92.2,90.5,70.1,74.0,96.6,83.2,,,,,,,,,,,,,,,,,,,,,,,
WDU01330191                   ,WDU01330191                   ,"PPI Commodity data for Farm products-Choice, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M07,,,,,,,,,,,,,,,,,,,,,,38.1,42.4,41.7,44.7,56.0,44.9,37.4,36.5,35.1,35.5,37.8,38.3,35.6,33.6,29.4,32.5,33.5,36.9,41.1,41.9,39.7,42.8,46.7,45.7,47.7,54.0,67.4,71.6,78.2,89.6,96.4,115.4,120.5,118.6,103.8,100.0,100.6,111.3,121.8,125.0,137.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU014101                     ,WDU014101                     ,"PPI Commodity data for Farm products-Hens, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,,,,,,,,,,,,,,,,,,,,,,308.5,352.2,320.1,264.9,323.7,267.2,291.4,221.2,247.5,217.9,171.1,184.3,133.9,158.4,126.4,124.8,125.9,112.6,114.5,129.5,100.0,91.7,131.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01410101                   ,WDU01410101                   ,"PPI Commodity data for Farm products-Chicken,light,Iowa farm . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,,,,,,,,,,,,,,,,,,,,,,428.9,494.6,450.2,373.0,455.4,369.2,415.5,310.3,347.1,302.5,222.6,250.6,154.4,192.5,138.9,129.9,135.4,117.2,118.2,139.1,100.0,97.3,156.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
