index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU1522                       ,WDU1522                       ,"PPI Commodity data for Miscellaneous products-Cigars, not seasonally adjusted, discontinued",Index base: 1982 = 100,1926-M01,2005-M13,38.2,38.3,38.2,37.9,37.0,36.0,35.6,33.6,33.9,33.5,33.3,33.4,33.4,33.4,33.4,33.4,34.6,38.8,39.3,42.9,45.4,52.0,52.3,52.7,52.8,53.3,53.4,54.0,54.3,54.4,54.5,55.0,55.8,55.8,55.8,55.8,55.8,55.8,55.7,55.7,55.9,55.9,56.4,57.8,59.5,60.4,61.0,62.4,65.8,68.8,70.5,73.0,78.9,82.3,88.5,94.9,100.0,100.9,102.8,110.0,110.4,114.6,119.6,129.8,140.3,149.0,158.8,165.6,171.3,185.2,197.3,212.8,226.4,246.7,257.4,269.1,281.1,291.4,302.0,321.5,,,,,,,,,,,,,
WDU152201                     ,WDU152201                     ,"PPI Commodity data for Miscellaneous products-Cigars, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,70.5,73.0,78.9,82.3,88.5,94.9,100.0,100.9,102.8,110.0,110.4,114.6,119.6,129.8,140.3,149.0,158.8,165.6,171.3,185.2,197.3,212.8,226.4,246.7,257.4,269.1,281.1,291.4,302.0,321.5,,,,,,,,,,,,,
WDU15220101                   ,WDU15220101                   ,"PPI Commodity data for Miscellaneous products-Cigarillos (weighing 3 to 10 pounds per 1,000), not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1999-M06,,,,,,,,,,,,,,,,,,,,,,49.1,48.5,48.9,48.9,48.9,48.9,48.9,49.0,49.2,49.2,49.2,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,52.7,55.4,58.0,58.7,58.0,59.3,64.3,69.0,70.0,72.5,78.2,81.0,88.2,94.6,100.0,103.1,102.9,111.8,111.8,116.4,120.9,135.9,149.2,160.3,165.4,174.5,185.2,194.6,,,,,,,,,,,,,,,,,,,,,,,
WDU15220102                   ,WDU15220102                   ,"PPI Commodity data for Miscellaneous products-Popular priced, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1989-M06,,,,,,,,,,,,,,,,,,,,,,47.1,48.4,49.5,49.6,50.1,50.6,51.4,51.4,51.6,52.0,53.0,53.1,53.1,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,54.3,56.9,59.2,62.2,63.7,66.0,69.6,74.0,77.0,83.4,86.7,91.1,95.5,100.0,,99.8,105.4,105.4,110.3,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15220103                   ,WDU15220103                   ,"PPI Commodity data for Miscellaneous products-Medium priced, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1989-M06,,,,,,,,,,,,,,,,,,,,,,56.8,56.9,56.9,56.9,56.9,56.9,58.2,58.7,58.9,59.1,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,60.1,60.3,60.3,60.3,60.3,60.4,60.5,62.4,65.2,65.7,65.7,66.7,73.0,78.2,84.8,93.0,100.0,102.2,106.4,111.6,114.6,117.2,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15220104                   ,WDU15220104                   ,"PPI Commodity data for Miscellaneous products-High priced, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1989-M06,,,,,,,,,,,,,,,,,,,,,,58.0,57.8,57.8,58.2,59.9,59.9,60.3,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.4,60.2,60.1,60.2,60.3,60.3,60.3,60.3,60.2,60.1,60.9,62.8,63.2,63.7,65.9,71.2,75.9,83.6,,100.0,103.1,111.1,116.8,118.8,124.2,131.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15220105                   ,WDU15220105                   ,"PPI Commodity data for Miscellaneous products-Cigars (weighing more than 10 pounds per 1,000), not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1989-M06,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9,112.0,120.1,124.9,128.5,139.8,148.8,161.6,174.3,,,,,,,,,,,,,,,,,,,,
WDU15220108                   ,WDU15220108                   ,"PPI Commodity data for Miscellaneous products-Cigars, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4,110.2,115.1,119.4,123.7,131.7,,,,,,,,,,,,,
WDU1523                       ,WDU1523                       ,"PPI Commodity data for Miscellaneous products-Other tobacco products, not seasonally adjusted, discontinued",Index base: 1982 = 100,1926-M01,2005-M13,17.7,17.7,17.7,17.7,17.7,15.9,13.0,12.5,12.5,12.5,12.5,12.4,12.2,12.2,12.2,12.2,12.3,12.3,12.4,13.0,13.4,14.7,15.4,15.8,16.1,17.0,18.4,18.5,18.5,18.6,18.8,20.8,21.5,23.2,23.8,24.0,24.3,25.2,26.2,26.3,28.2,28.4,28.7,30.4,32.5,35.6,35.7,36.8,39.1,47.8,52.2,56.9,63.2,70.8,79.7,91.2,100.0,105.6,113.4,121.9,129.0,135.9,146.0,155.5,168.4,184.7,201.9,217.7,233.6,248.1,256.9,266.5,282.7,304.2,321.7,337.4,358.9,378.7,393.4,407.2,,,,,,,,,,,,,
WDU152301                     ,WDU152301                     ,"PPI Commodity data for Miscellaneous products-Other tobacco products, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,52.2,56.9,63.2,70.8,79.7,91.2,100.0,105.6,113.4,121.9,129.0,135.9,146.0,155.5,168.4,184.7,201.9,217.7,233.6,248.1,256.9,266.5,282.7,304.2,321.7,337.4,358.9,378.7,393.4,407.2,,,,,,,,,,,,,
WDU15230101                   ,WDU15230101                   ,"PPI Commodity data for Miscellaneous products-Smoking tobacco, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1999-M06,,,,,,,,,,,,,,,,,,,,,,15.5,15.8,16.3,16.6,17.5,18.9,19.0,19.1,19.3,19.4,21.5,23.4,25.4,26.6,26.6,26.8,27.3,28.2,28.4,30.2,30.5,30.6,32.5,34.1,36.1,36.4,37.4,39.9,49.2,54.0,59.4,64.7,72.2,81.0,,100.0,109.5,115.7,123.2,127.8,133.8,139.6,148.8,163.3,174.3,185.5,196.5,206.1,212.9,221.6,230.2,233.7,,,,,,,,,,,,,,,,,,,,
WDU15230102                   ,WDU15230102                   ,"PPI Commodity data for Miscellaneous products-Loose leaf chewing tobacco, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1983-M04,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,117.2,127.1,136.6,143.7,152.2,162.6,176.5,190.4,201.0,211.6,220.4,230.9,240.8,257.5,267.5,281.1,293.6,310.0,331.4,342.0,341.7,,,,,,,,,,,,,
WDU15230103                   ,WDU15230103                   ,"PPI Commodity data for Miscellaneous products-Chewing tobacco other than loose leaf, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1983-M04,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,120.6,128.9,137.9,145.1,154.2,164.3,183.7,200.1,216.2,224.2,235.9,247.6,259.0,273.4,,,,,,,,,,,,,,,,,,,,
WDU15230104                   ,WDU15230104                   ,"PPI Commodity data for Miscellaneous products-All other chewing and smoking tobacco and snuff, not seasonally adjusted, discontinued",Index base: 1999.06 = 100,1999-M06,2005-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1,112.5,122.1,127.1,131.8,138.7,,,,,,,,,,,,,
WDU15230111                   ,WDU15230111                   ,"PPI Commodity data for Miscellaneous products-Plug chewing tobacco, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1982-M13,,,,,,,,,,,,,,,,,,,,,,15.1,15.1,15.1,15.1,15.4,16.9,16.9,16.9,16.9,17.0,19.6,18.6,21.1,21.4,21.4,21.8,23.4,24.4,24.4,26.3,26.3,26.6,27.4,29.6,33.3,33.3,33.7,35.1,44.5,48.6,51.8,59.6,67.5,76.7,93.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15230121                   ,WDU15230121                   ,"PPI Commodity data for Miscellaneous products-Snuff, dry and moist, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2005-M13,,,,,,,,,,,,,,,,,,,,,,13.3,15.9,16.4,17.2,18.9,20.1,20.1,20.1,20.2,20.5,21.7,22.6,22.6,22.6,23.4,23.9,24.5,25.5,25.6,27.9,28.2,28.9,31.5,34.4,38.8,39.0,41.2,44.6,51.1,54.6,60.3,67.9,74.0,82.7,93.2,100.0,100.7,115.1,134.1,151.5,155.0,171.9,183.7,200.2,221.9,244.5,266.8,291.4,313.9,322.2,332.9,355.0,388.4,412.9,432.2,457.8,483.1,503.6,525.4,,,,,,,,,,,,,
WDU152401                     ,WDU152401                     ,"PPI Commodity data for Miscellaneous products-Unstemmed leaf tobacco redried before pack., not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,90.5,88.3,91.3,92.5,95.9,96.0,100.9,100.8,101.5,105.2,107.8,109.8,111.9,,,,,,,,,,,,,,,,,,,,
WDU15240105                   ,WDU15240105                   ,"PPI Commodity data for Miscellaneous products-Packed for sale, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,1999-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,90.5,88.3,91.3,92.4,95.9,96.0,100.9,100.8,101.5,105.2,107.8,109.8,111.9,,,,,,,,,,,,,,,,,,,,
WDU15240205                   ,WDU15240205                   ,"PPI Commodity data for Miscellaneous products-Stemmed tobacco, leaf, not aged, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1985-M03,1989-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,91.5,88.4,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15240209                   ,WDU15240209                   ,"PPI Commodity data for Miscellaneous products-Other stemmed tobacco, incl. chopped cigar filler, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,1989-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,94.1,93.5,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU152403                     ,WDU152403                     ,"PPI Commodity data for Miscellaneous products-Reconstituted tobacco, proc. sheet & homog., not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1989-M06,1997-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,105.1,106.1,107.1,108.2,109.6,109.2,,,,,,,,,,,,,,,,,,,,,,
WDU15240301                   ,WDU15240301                   ,"PPI Commodity data for Miscellaneous products-Reconstituted tobacco, processed sheet & homogenized, not seasonally adjusted, discontinued",Index base: 1989.06 = 100,1989-M06,1997-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,105.1,106.1,107.1,108.2,109.6,109.2,,,,,,,,,,,,,,,,,,,,,,
WDU1531                       ,WDU1531                       ,"PPI Commodity data for Miscellaneous products-Buttons, button blanks, and parts, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2011-M03,,,,,,,,,,,,,,,,,,,,,,40.0,41.0,40.3,40.3,42.3,41.9,42.9,43.0,43.7,45.2,45.8,45.9,45.9,46.0,46.1,46.1,46.3,46.7,46.9,47.2,46.9,52.4,54.6,58.6,60.2,60.2,61.1,70.8,75.6,76.3,77.4,80.9,89.2,95.5,99.0,100.0,101.6,102.4,103.4,103.4,104.1,108.2,113.3,114.8,119.0,119.4,120.2,121.7,124.0,124.3,125.3,130.1,133.3,134.8,135.7,134.9,134.3,133.8,137.8,141.9,144.2,175.5,182.8,,,,,,,,,
WDU153101                     ,WDU153101                     ,"PPI Commodity data for Miscellaneous products-Buttons, button blanks, and parts, not seasonally adjusted, discontinued",Index base: 1982 = 100,1986-M01,2011-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,104.1,108.2,113.3,114.8,119.0,119.4,120.2,121.7,124.0,124.3,125.3,130.1,133.3,134.8,135.7,134.9,134.3,133.8,137.8,141.9,144.2,175.5,182.8,,,,,,,,,
WDU15310111                   ,WDU15310111                   ,"PPI Commodity data for Miscellaneous products-Plastic button, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M12,1978-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,77.4,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15310121                   ,WDU15310121                   ,"PPI Commodity data for Miscellaneous products-Buttons, button blanks, and parts, not seasonally adjusted, discontinued",Index base: 1985.12 = 100,1991-M07,2011-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1,117.0,118.4,120.6,120.9,121.9,126.6,129.7,131.1,132.1,131.3,130.7,130.1,134.1,138.0,140.3,170.8,177.9,,,,,,,,,
WDU15320102                   ,WDU15320102                   ,"PPI Commodity data for Miscellaneous products-Zippers and slide fasteners, not seasonally adjusted, discontinued",Index base: 1985.12 = 100,1985-M12,2009-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,104.4,107.1,111.9,116.1,117.6,120.7,121.6,123.5,123.9,127.3,126.5,124.5,128.8,129.6,129.6,130.4,130.7,134.3,139.9,160.6,173.4,174.6,174.8,,,,,,,,,
WDU15320103                   ,WDU15320103                   ,"PPI Commodity data for Miscellaneous products-Buckles, non-slide fasteners, needles, and pins, not seasonally adjusted, discontinued",Index base: 1985.12 = 100,1985-M12,2018-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,101.2,103.3,107.2,110.5,112.1,113.1,114.7,115.4,118.5,120.0,120.1,119.6,120.7,122.6,122.5,122.9,122.4,123.1,124.6,125.4,128.9,140.7,150.5,154.5,161.5,164.3,166.7,,171.6,173.3,173.7,
WDU15320111                   ,WDU15320111                   ,"PPI Commodity data for Miscellaneous products-Safety pin, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M01,1983-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,38.6,46.7,52.5,55.5,57.6,63.8,77.2,89.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15320121                   ,WDU15320121                   ,"PPI Commodity data for Miscellaneous products-Aluminum zipper, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M12,1981-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,59.6,63.6,66.6,75.0,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU153301                     ,WDU153301                     ,"PPI Commodity data for Miscellaneous products-Buttons, button blanks, and parts, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2018-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,
WDU15330121                   ,WDU15330121                   ,"PPI Commodity data for Miscellaneous products-Buttons, button blanks, and parts, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2018-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,96.6,103.1,
WDU154107017                  ,WDU154107017                  ,"PPI Commodity data for Miscellaneous products-Motion picture equipment, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2013-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,,,,,,
WDU15420437                   ,WDU15420437                   ,"PPI Commodity data for Miscellaneous products-Microstatic copy paper, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M13,1968-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU1551                       ,WDU1551                       ,"PPI Commodity data for Miscellaneous products-Mobile homes, not seasonally adjusted, discontinued",Index base: 1974.12 = 100,1974-M12,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,108.0,116.8,126.4,138.1,150.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15510111                   ,WDU15510111                   ,"PPI Commodity data for Miscellaneous products-Mobile homes, single, not seasonally adjusted, discontinued",Index base: 1974.12 = 100,1976-M07,1981-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.1,125.8,137.8,150.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15510113                   ,WDU15510113                   ,"PPI Commodity data for Miscellaneous products-Mobile homes, double, not seasonally adjusted, discontinued",Index base: 1974.12 = 100,1976-M07,1980-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7,139.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU1552                       ,WDU1552                       ,"PPI Commodity data for Miscellaneous products-Manufactured homes, residential, single wide, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M07,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,77.6,85.0,92.7,,100.0,101.7,100.6,101.4,101.9,103.1,108.4,113.3,116.7,119.7,121.0,125.8,135.6,145.4,149.1,151.6,153.6,159.3,162.2,165.8,168.4,171.3,189.3,200.4,208.2,209.5,218.4,223.5,234.3,239.0,,,,,,,
WDU155201                     ,WDU155201                     ,"PPI Commodity data for Miscellaneous products-Single, 12 ft. wide, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.7,98.9,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15520101                   ,WDU15520101                   ,"PPI Commodity data for Miscellaneous products-Single, 12 ft. wide, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,98.9,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU155202                     ,WDU155202                     ,"PPI Commodity data for Miscellaneous products-Single, 14 ft. wide and over, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.9,105.2,107.2,109.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15520201                   ,WDU15520201                   ,"PPI Commodity data for Miscellaneous products-Length, 59 ft. and under, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.9,98.6,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15520202                   ,WDU15520202                   ,"PPI Commodity data for Miscellaneous products-Length, 60 to 69 ft., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.8,104.1,105.9,108.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15520203                   ,WDU15520203                   ,"PPI Commodity data for Miscellaneous products-Length, 70 to 74 ft., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.6,105.9,108.5,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15520204                   ,WDU15520204                   ,"PPI Commodity data for Miscellaneous products-Length, 75 ft. and over, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.7,106.8,108.7,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU155203                     ,WDU155203                     ,"PPI Commodity data for Miscellaneous products-Manufactured homes, residential, single wide, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,105.7,110.4,113.8,116.7,118.0,122.7,132.2,141.7,145.3,147.8,149.7,155.3,158.1,161.7,164.2,167.0,184.5,195.4,203.0,204.3,212.9,217.9,228.5,233.0,,,,,,,
WDU15520301                   ,WDU15520301                   ,"PPI Commodity data for Miscellaneous products-Mobile homes, residential, single wide, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1991-M07,2011-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,122.7,132.2,141.7,145.3,147.8,149.7,155.3,158.1,161.7,164.2,167.0,184.5,195.4,203.0,204.3,212.9,217.9,228.5,,,,,,,,
WDU155301                     ,WDU155301                     ,"PPI Commodity data for Miscellaneous products-Double, 24 ft. width, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,98.3,101.9,103.2,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15530101                   ,WDU15530101                   ,"PPI Commodity data for Miscellaneous products-Length, 49 ft. and under, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.6,105.4,108.4,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15530102                   ,WDU15530102                   ,"PPI Commodity data for Miscellaneous products-Length, 50 to 59 ft., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,102.8,106.0,110.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15530103                   ,WDU15530103                   ,"PPI Commodity data for Miscellaneous products-Length, 60ft. and over, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,97.4,100.4,100.2,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU155302                     ,WDU155302                     ,"PPI Commodity data for Miscellaneous products-Double, other than 24 ft width, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.7,99.0,95.1,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15530201                   ,WDU15530201                   ,"PPI Commodity data for Miscellaneous products-Other than 24 ft. width, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.7,99.0,95.1,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU1554                       ,WDU1554                       ,"PPI Commodity data for Miscellaneous products-Other mobile homes and buildings, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,105.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU1555                       ,WDU1555                       ,"PPI Commodity data for Miscellaneous products-Mobile buildings, nonresidential, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1994-M07,1999-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5,122.9,123.5,125.1,,,,,,,,,,,,,,,,,,,,
WDU155503                     ,WDU155503                     ,"PPI Commodity data for Miscellaneous products-Mobile buildings, nonresidential, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1994-M07,1999-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5,122.9,123.5,125.1,,,,,,,,,,,,,,,,,,,,
WDU15550301                   ,WDU15550301                   ,"PPI Commodity data for Miscellaneous products-Mobile buildings, nonresidential, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,1999-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5,122.9,123.5,125.1,,,,,,,,,,,,,,,,,,,,
