index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU5641                       ,WDU5641                       ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU564101                     ,WDU564101                     ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU56410101                   ,WDU56410101                   ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
WDU571101                     ,WDU571101                     ,"PPI Commodity data for Wholesale trade services-Machinery and equipment wholesaling, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,102.3,107.2,110.3,112.0,110.7,117.9,119.3,124.2
WDU57110101                   ,WDU57110101                   ,"PPI Commodity data for Wholesale trade services-Machinery and equipment wholesaling, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,102.3,107.2,110.3,112.0,110.7,117.9,119.3,124.2
WDU581101                     ,WDU581101                     ,"PPI Commodity data for Retail trade services-Food and alcohol retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,107.5,112.6,115.1,120.1,,,,
WDU58110101                   ,WDU58110101                   ,"PPI Commodity data for Retail trade services-Food and alcohol retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,107.5,112.6,115.1,120.1,,,,
WDU587                        ,WDU587                        ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU5871                       ,WDU5871                       ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU587101                     ,WDU587101                     ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU58710101                   ,WDU58710101                   ,"PPI Commodity data for Retail trade services-Manufactured (mobile) homes retailing, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2018-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,101.5,100.1,98.1,100.7,100.9,104.4,106.9,108.0
WDU61110322                   ,WDU61110322                   ,"PPI Commodity data for Contract work on textile products, apparel, and leather-Contract work, men's/boys' embroidery and misc, not seasonally adjusted, discontinued",Index base: 2007.06 = 100,2007-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,102.4,102.9,104.2,,,,,,,
