index,Index,Label,unit,start,last,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CUUSA311SANL11   ,CUUSA311SANL11   ,"Nondurables less food and beverages in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.9,100.1,101.1,105.8,111.2,111.9,112.2,110.7,107.8,109.6,112.3,111.7,113.3,116.3,120.4,129.3,130.9,129.8,132.524,135.634,145.79,143.383,127.201,135.269,138.515,137.413,153.108,152.432,156.075,154.644,153.768,153.232,154.105,149.502,138.414,135.932,134.072,138.086,139.242,141.302
CUUSA311SAR      ,CUUSA311SAR      ,"Recreation in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,101.3,101.5,102.5,103.0,103.8,103.6,104.5,105.9,107.1,106.5,110.7,111.4,111.0,110.8,110.9,111.8,113.6,115.1,116.324,115.392,117.307,117.598,115.94,117.504,117.436,115.688,115.371,113.88,115.081,114.558,115.597,116.83,117.17,117.154,118.851,118.367,119.519,117.299,114.123,114.566
CUUSA311SAS      ,CUUSA311SAS      ,"Services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,101.7,104.0,104.4,106.6,107.3,110.2,111.7,114.2,116.2,118.6,120.8,123.0,124.3,127.5,129.9,132.6,135.1,139.0,141.325,145.062,148.165,151.334,151.75,153.542,154.181,156.019,157.553,159.499,161.753,164.177,165.698,168.094,169.917,171.629,173.876,176.051,178.121,179.145,180.509,182.318
CUUSA311SASL2RS  ,CUUSA311SASL2RS  ,"Services less rent of shelter in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,101.0,103.5,103.6,106.2,106.1,109.7,109.7,112.2,112.8,115.1,117.1,119.3,119.4,123.3,124.5,129.3,130.3,133.7,134.414,141.518,144.376,148.904,147.224,150.78,152.339,154.019,154.705,156.711,158.176,160.353,161.852,165.893,167.273,168.021,169.91,172.516,174.363,175.375,176.828,178.864
CUUSA311SASL5    ,CUUSA311SASL5    ,"Services less medical care services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,101.7,104.1,104.5,106.8,107.4,110.4,111.9,114.6,116.5,119.1,121.2,123.4,124.7,128.0,130.4,133.1,135.6,140.0,142.208,145.775,148.817,152.147,152.557,154.385,154.665,156.475,157.886,159.87,161.956,164.337,165.716,167.925,169.813,171.766,173.675,175.566,177.542,178.437,179.648,181.53
CUUSA311SAT      ,CUUSA311SAT      ,"Transportation in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.4,100.2,98.6,98.2,98.7,102.0,106.3,108.3,108.8,106.6,104.8,106.7,108.9,108.4,110.8,113.8,117.5,124.7,126.7,125.0,126.806,129.797,138.864,134.937,119.073,130.019,134.989,136.205,148.641,149.955,152.213,151.83,153.9,154.361,156.993,151.5,142.727,140.043,137.673,138.706,142.419,143.151
CUUSA311SAT1     ,CUUSA311SAT1     ,"Private transportation in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,98.3,97.9,97.9,101.5,105.8,107.4,108.1,105.7,103.6,106.0,108.3,107.4,110.1,113.5,117.6,125.1,127.0,125.3,127.435,130.167,138.831,134.543,118.626,129.697,134.904,135.535,148.63,149.87,152.033,151.465,152.781,152.4,155.007,149.756,139.627,137.622,135.179,136.978,140.666,141.058
CUUSA311SATCLTB  ,CUUSA311SATCLTB  ,"Transportation commodities less motor fuel in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,100.037,100.459,101.26,104.119,103.295,102.86,103.783,104.963,105.731,105.37,104.505,103.307,104.06,102.193,103.09,100.636
CUUSA311SEFV     ,CUUSA311SEFV     ,"Food away from home in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.11=100,1998-S01,2017-S03,,,100.9,102.5,104.2,104.7,106.6,108.2,109.8,111.1,112.4,113.9,115.8,117.8,119.7,121.3,123.0,125.2,127.6,130.0,131.43,135.264,137.703,142.169,143.623,143.964,145.093,146.207,148.751,150.47,152.692,155.712,157.568,158.453,160.402,162.439,164.528,165.867,167.689,170.765,171.977,174.434
CUUSA311SEHA     ,CUUSA311SEHA     ,"Rent of primary residence in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.1,100.6,102.0,103.7,105.1,106.9,108.5,111.3,115.2,119.1,122.8,126.0,129.3,132.3,134.4,136.6,140.3,142.9,146.0,150.7,154.224,156.318,159.956,164.385,167.975,170.112,171.574,173.299,175.797,178.86,182.442,186.696,188.563,190.291,191.468,194.323,197.857,199.992,200.964,203.002,205.782,208.665
