index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JTU710000000000000LDR         ,JTU710000000000000LDR         ,710000,R,2000-M12,2021-M10,56.1,45.9,59.5,58.2,48.9,45.3,47.6,48.3,43.6,42.4,49.5,48.8,44.1,49.6,49.3,43.9,49.4,48.1,39.7,96.7
JTU720000000000000LDL         ,JTU720000000000000LDL         ,720000,L,2000-M12,2021-M10,2510.0,2332.0,2577.0,2780.0,2690.0,2589.0,2511.0,2527.0,2702.0,2257.0,2492.0,2407.0,2429.0,2489.0,2648.0,2484.0,2694.0,2654.0,2586.0,8818.0
JTU720000000000000LDR         ,JTU720000000000000LDR         ,720000,R,2000-M12,2021-M10,24.6,22.9,24.9,26.1,24.6,23.2,21.9,22.0,24.2,20.3,21.8,20.4,19.9,19.8,20.4,18.5,19.6,19.1,18.3,76.4
JTU810000000000000LDL         ,JTU810000000000000LDL         ,810000,L,2000-M12,2021-M10,673.0,774.0,934.0,807.0,818.0,838.0,762.0,897.0,1090.0,825.0,1085.0,1007.0,893.0,762.0,970.0,851.0,1013.0,942.0,769.0,2450.0
JTU810000000000000LDR         ,JTU810000000000000LDR         ,810000,R,2000-M12,2021-M10,12.8,14.4,17.3,14.9,15.2,15.4,13.9,16.3,20.3,15.5,20.2,18.5,16.3,13.7,17.3,15.0,17.6,16.2,13.1,45.4
JTU900000000000000LDL         ,JTU900000000000000LDL         ,900000,L,2000-M12,2021-M10,1131.0,1227.0,1338.0,1346.0,1315.0,1393.0,1373.0,1218.0,1633.0,2096.0,1340.0,1275.0,1177.0,1072.0,1340.0,1337.0,1339.0,1253.0,1244.0,1937.0
JTU900000000000000LDR         ,JTU900000000000000LDR         ,900000,R,2000-M12,2021-M10,5.4,5.7,6.2,6.2,6.0,6.3,6.2,5.4,7.2,9.3,6.1,5.8,5.4,4.9,6.1,6.0,6.0,5.6,5.5,8.8
JTU910000000000000LDL         ,JTU910000000000000LDL         ,910000,L,2000-M12,2021-M10,104.0,116.0,132.0,162.0,179.0,205.0,219.0,124.0,234.0,746.0,117.0,125.0,118.0,92.0,130.0,120.0,118.0,90.0,123.0,443.0
JTU910000000000000LDR         ,JTU910000000000000LDR         ,910000,R,2000-M12,2021-M10,3.8,4.2,4.8,5.9,6.6,7.5,8.0,4.5,8.3,25.1,4.1,4.4,4.3,3.4,4.7,4.3,4.2,3.2,4.3,15.1
JTU920000000000000LDL         ,JTU920000000000000LDL         ,920000,L,2000-M12,2021-M10,1025.0,1111.0,1209.0,1184.0,1132.0,1187.0,1153.0,1093.0,1397.0,1350.0,1221.0,1150.0,1058.0,979.0,1210.0,1216.0,1219.0,1167.0,1123.0,1496.0
JTU920000000000000LDR         ,JTU920000000000000LDR         ,920000,R,2000-M12,2021-M10,5.6,5.9,6.4,6.3,5.9,6.2,5.9,5.5,7.1,6.9,6.3,6.0,5.5,5.1,6.3,6.3,6.2,5.9,5.7,7.9
JTU923000000000000LDL         ,JTU923000000000000LDL         ,923000,L,2000-M12,2021-M10,418.0,520.0,545.0,561.0,547.0,590.0,575.0,521.0,656.0,698.0,644.0,505.0,528.0,484.0,614.0,606.0,557.0,600.0,543.0,851.0
JTU923000000000000LDR         ,JTU923000000000000LDR         ,923000,R,2000-M12,2021-M10,4.4,5.3,5.5,5.6,5.4,5.8,5.6,5.0,6.3,6.7,6.3,5.0,5.2,4.7,6.0,5.9,5.4,5.7,5.2,8.5
JTU929000000000000LDL         ,JTU929000000000000LDL         ,929000,L,2000-M12,2021-M10,605.0,588.0,660.0,624.0,586.0,597.0,578.0,571.0,740.0,654.0,579.0,644.0,532.0,498.0,597.0,610.0,661.0,565.0,577.0,647.0
JTU929000000000000LDR         ,JTU929000000000000LDR         ,929000,R,2000-M12,2021-M10,6.9,6.6,7.5,7.0,6.5,6.6,6.3,6.1,8.0,7.2,6.4,7.2,6.0,5.6,6.6,6.7,7.2,6.1,6.2,7.2
