index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU9093200001    ,CEU9093200001    ,90932000,1,1955-M01,2022-M01,,,,,,,,,,,,,,,,,1807.6,1935.1,2045.1,2117.5,2167.9,2233.0,2297.2,2359.5,2446.6,2553.4,2669.4,2783.0,2881.1,3010.5,3119.4,3246.8,3346.2,3528.3,3713.2,3823.5,4035.8,4078.9,4163.3,4487.6,4644.1,4675.0,4523.3,4409.0,4413.4,4405.9,4466.8,4543.6,4631.3,4748.9,4869.5,5012.4,5086.9,5191.6,5231.9,5352.2,5396.0,5464.1,5516.9,5603.9,5708.6,5844.6,5970.0,6063.2,6110.2,6144.1,6184.6,6253.8,6375.5,6486.5,6474.9,6362.9,6277.7,6266.8,6260.1,6283.4,6324.0,6414.1,6457.5,6518.0,6574.9,6339.6,6326.1
CEU9093200010    ,CEU9093200010    ,90932000,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.9,1414.0,1476.7,1480.7,1502.3,1608.0,1769.6,1861.4,1957.1,1918.9,1898.8,1896.9,1925.9,1963.9,2008.9,2047.9,2111.2,2181.0,2259.7,2307.6,2376.7,2400.1,2481.0,2510.0,2553.5,2586.4,2659.9,2723.5,2810.2,2858.3,2906.5,2929.8,2945.5,2949.1,2963.5,3051.5,3100.7,3073.5,2996.7,2948.1,2919.1,2915.7,2927.3,2933.4,2983.0,2997.8,3035.0,3076.3,2950.7,2954.9
CEU9093222101    ,CEU9093222101    ,90932221,1,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.7,229.7,232.8,231.0,231.8,229.2,228.8,226.6,225.5,224.4,226.3,229.4,232.0,234.4,236.6,237.9,239.3,242.3,245.6,246.6,242.5,240.6,239.5,239.1,240.3,242.4,244.9,246.0,245.4,246.9,246.3,244.5
CEU9093222110    ,CEU9093222110    ,90932221,10,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,45.5,47.3,47.5,48.7,49.2,50.0,50.4,51.5,51.9,52.9,55.0,56.3,57.0,57.7,57.4,55.4,57.5,58.7,59.2,58.2,58.0,58.5,58.0,57.5,58.1,58.8,59.3,59.3,59.9,59.1,58.5
CEU9093248001    ,CEU9093248001    ,90932480,1,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.3,196.4,199.0,200.5,204.3,208.7,205.9,208.2,213.9,221.3,229.7,240.3,247.0,250.4,249.7,251.7,255.7,261.4,267.9,269.3,265.5,266.1,271.2,276.7,277.6,282.3,284.6,288.3,287.6,290.4,288.7,276.9
CEU9093248010    ,CEU9093248010    ,90932480,10,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,45.3,47.1,48.0,50.1,52.2,52.4,53.9,56.9,59.6,62.6,66.4,69.0,70.1,71.1,72.3,74.7,80.6,84.5,83.5,79.0,78.8,81.3,84.4,85.3,87.8,88.6,89.1,88.2,89.3,90.5,85.5
CEU9093262201    ,CEU9093262201    ,90932622,1,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.3,477.4,483.3,488.8,492.4,493.8,534.7,570.6,603.9,622.3,635.1,643.6,622.8,607.9,601.3,606.4,619.0,632.0,646.1,652.9,664.6,673.3,673.1,668.8,648.1,632.0,630.2,626.1,621.7,628.1,641.5,651.1,656.4,654.5,647.0,654.4,659.0,660.6,649.5,647.7,647.3,646.1,642.0,647.5,658.3,667.1,673.8,682.3,678.6,674.5
CEU9093262210    ,CEU9093262210    ,90932622,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0,368.1,372.3,372.4,376.6,378.5,410.3,449.1,489.5,505.4,517.2,522.5,508.4,496.9,493.0,498.9,511.4,522.0,532.6,540.1,548.4,553.0,551.0,546.3,529.3,514.9,515.1,511.3,509.1,515.0,522.0,533.1,540.8,536.4,517.9,528.0,525.3,523.5,507.7,506.4,510.3,511.2,511.7,517.2,526.4,532.8,537.9,544.1,538.8,536.6
CEU9093292001    ,CEU9093292001    ,90932920,1,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3242.4,3286.1,3353.7,3370.5,3420.4,3439.8,3517.2,3581.7,3682.3,3763.2,3839.6,3927.2,3975.2,3974.3,3985.7,4013.9,4076.7,4154.1,4228.6,4198.9,4114.2,4044.3,4037.3,4021.0,4040.7,4060.1,4117.5,4152.1,4217.6,4254.9,4142.0,4145.6
CEU9093292010    ,CEU9093292010    ,90932920,10,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.6,1296.8,1342.3,1350.4,1404.2,1409.0,1440.8,1453.3,1476.7,1506.3,1565.4,1622.9,1648.6,1640.1,1647.6,1661.9,1696.7,1726.5,1754.7,1729.9,1690.6,1654.9,1645.8,1640.4,1652.9,1656.6,1687.5,1699.2,1732.3,1751.8,1698.8,1707.7
CEU9093299901    ,CEU9093299901    ,90932999,1,1990-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,722.0,741.4,756.6,822.6,849.5,864.1,868.4,852.1,873.5,927.4,945.0,967.5,1000.1,1015.7,1026.6,1035.1,1063.4,1085.4,1099.5,1091.3,1079.1,1071.5,1077.2,1082.9,1091.8,1108.8,1104.0,1093.8,1100.5,983.9,984.6
