"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1963-07,391.5,10.4,390.9,10.7,8.6,0.0,0.0,1.8,0.0,8.9,0.0,0.0,0.0,0.0,1.8,0.0
1963-08,394.5,10.9,392.5,11.0,9.1,0.0,0.0,1.8,0.0,9.2,0.0,0.0,0.0,0.0,1.8,0.0
1963-09,397.3,11.3,396.1,11.2,9.5,0.0,0.0,1.8,0.0,9.4,0.0,0.0,0.0,0.0,1.8,0.0
1963-10,400.0,11.7,400.1,11.4,9.9,0.0,0.0,1.8,0.0,9.6,0.0,0.0,0.0,0.0,1.8,0.0
1963-11,403.8,12.3,404.1,11.8,10.5,0.0,0.0,1.9,0.0,9.9,0.0,0.0,0.0,0.0,1.9,0.0
1963-12,405.9,12.7,408.7,12.2,10.8,0.0,0.0,1.9,0.0,10.3,0.0,0.0,0.0,0.0,1.9,0.0
1964-01,408.5,13.2,412.6,13.1,11.3,0.0,0.0,2.0,0.0,11.1,0.0,0.0,0.0,0.0,2.0,0.0
1964-02,411.3,13.7,411.4,13.7,11.7,0.0,0.0,2.0,0.0,11.7,0.0,0.0,0.0,0.0,2.0,0.0
1964-03,413.6,13.8,412.9,14.0,11.8,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0
1964-04,415.8,14.1,416.8,14.4,12.0,0.0,0.0,2.1,0.0,12.3,0.0,0.0,0.0,0.0,2.1,0.0
