index,Index,Label,unit,start,last,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU511130511130F22            ,PCU511130511130F22            ,"PPI industry data for Book publishers-Elementary and high school textbook publishing, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,102.1,108.3,115.0,121.1,124.6,130.0,133.2,140.7,144.2,150.5,155.7,159.3,164.6,167.5,163.8,170.4,172.0,171.1,176.967
PCU511130511130F3             ,PCU511130511130F3             ,"PPI industry data for Book publishers-Technical, scientific, and professional book publishing, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,106.5,113.3,119.2,127.0,133.1,137.5,139.8,147.5,155.0,160.0,167.0,167.4,174.1,178.4,180.3,185.8,193.8,202.3,213.6,219.3,226.2,241.0,254.4,272.8,294.9,316.5,338.8,365.5,391.3,408.5,423.7,441.0,457.0,476.8,503.3,525.9,560.2,588.8,634.5,687.3,751.571
PCU511130511130F4             ,PCU511130511130F4             ,"PPI industry data for Book publishers-General reference book publishing, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,109.6,122.6,126.4,128.0,130.5,132.6,138.4,144.1,150.1,154.8,162.4,163.9,155.9,157.4,162.1,166.0,169.6,174.1,181.1,189.5,190.4,187.6,194.1,200.2,196.6,199.6,201.9,200.7,203.4,204.6,203.5,204.3,203.0,203.4,193.2,191.4,190.9,189.9,181.4,197.2,218.188
PCU511130511130F5             ,PCU511130511130F5             ,"PPI industry data for Book publishers-Religious book publishing, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,108.5,112.1,123.2,,,135.3,142.5,148.6,159.0,168.4,171.0,173.0,173.8,176.3,181.9,186.4,194.3,200.3,199.7,199.7,201.8,205.0,204.4,205.6,209.6,210.6,211.5,213.1,214.2,215.1,215.3,216.3,216.4,218.4,226.5,232.5,234.7,238.2,229.2,223.8,223.762
PCU511130511130G              ,PCU511130511130G              ,"PPI industry data for Book publishers-Digital book publishing, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,104.9,105.3,104.8,105.0,106.331
PCU511130511130G1             ,PCU511130511130G1             ,"PPI industry data for Book publishers-Ebook publishing, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.6,105.9,106.0,105.1,105.7,107.812
PCU511130511130G2             ,PCU511130511130G2             ,"PPI industry data for Book publishers-Other digital book publishing, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,103.0,104.2,104.1,103.5,103.483
PCU511130511130M              ,PCU511130511130M              ,"PPI industry data for Book publishers-Miscellaneous receipts, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2002-M13,,,,,,,,,,,,,,,,,133.5,138.6,142.7,149.9,155.0,153.5,151.7,,,,,,,,,,,,,,,,,,,
PCU511130511130MM             ,PCU511130511130MM             ,"PPI industry data for Book publishers-Miscellaneous receipts, not seasonally adjusted",Index base: 1995.06 = 100,1995-M06,1998-M07,,,,,,,,,,,,,,,,,101.7,105.9,,,,,,,,,,,,,,,,,,,,,,,,
PCU511130511130P              ,PCU511130511130P              ,"PPI industry data for Book publishers-Primary services, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,106.7,114.0,121.8,128.2,134.5,141.3,147.8,156.7,167.4,177.8,186.2,192.6,196.7,204.7,215.9,226.3,233.5,240.3,248.5,254.6,263.2,273.3,282.8,294.4,306.7,319.5,330.8,344.4,356.6,367.8,376.3,388.8,399.2,408.6,420.8,428.4,435.0,444.7,453.6,464.6,484.732
PCU511130511130SM             ,PCU511130511130SM             ,"PPI industry data for Book publishers-Other receipts, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,268.4,274.9,284.4,288.8,289.9,313.9,336.8,337.6,345.6,364.1,378.3,396.9,420.7,414.9,409.3,411.9,422.2,,
PCU51114-51114-               ,PCU51114-51114-               ,"PPI industry data for Directory and mailing list publishers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,101.3,103.3,105.4,108.4,111.1,113.0,114.4,115.8,117.8,120.0,120.2,120.5,120.0,114.9,114.4,116.1,116.7,117.983
PCU511140511140               ,PCU511140511140               ,"PPI industry data for Directory and mailing list publishers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,101.3,103.2,105.4,108.4,111.1,113.0,114.3,115.8,117.8,120.0,120.2,120.5,120.0,114.9,114.4,116.1,116.7,117.971
PCU5111405111401              ,PCU5111405111401              ,"PPI industry data for Directory and mailing list publishers-Directory and mailing list publishing - advertising sales incl. telephone directory listings, not seasonally adjusted",Index base: 1984.09 = 100,1984-M09,2022-M04,,,,,,102.1,112.1,118.9,126.3,132.0,136.7,145.9,154.7,161.2,167.7,172.8,178.8,185.0,193.0,201.0,208.2,216.0,224.9,237.1,244.6,249.6,254.5,260.8,264.4,269.0,273.2,277.8,284.2,289.9,289.8,289.9,286.9,270.5,267.1,267.5,267.6,267.696
PCU5111405111405              ,PCU5111405111405              ,"PPI industry data for Directory and mailing list publishers-Directory and mailing list publishing - subscription, content, and licensing sales, not seasonally adjusted",Index base: 2008.01 = 100,2008-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6,109.2,110.0,111.0,111.3,114.0,120.7,123.7,129.895
PCU511140511140P              ,PCU511140511140P              ,"PPI industry data for Directory and mailing list publishers-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,101.3,103.4,105.6,108.4,111.0,112.9,114.2,115.7,117.8,120.0,120.3,120.5,119.6,114.0,113.3,114.7,115.3,116.404
PCU511140511140SM             ,PCU511140511140SM             ,"PPI industry data for Directory and mailing list publishers-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2007-M10,,,,,,,,,,,,,,,,,,,,,,,,,100.1,100.4,101.8,,,,,,,,,,,,,,,
PCU51119-51119-               ,PCU51119-51119-               ,"PPI industry data for Other publishers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,100.7,103.9,104.9,107.9,108.8,109.2,109.2,109.9,110.7,110.6,111.1,111.5,111.5,111.5,111.7,112.8,113.5,113.594
PCU511191511191               ,PCU511191511191               ,"PPI industry data for Greeting card publishers, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M04,,,,,,,100.2,102.8,108.4,114.4,120.3,125.3,131.3,139.4,145.7,156.5,162.7,164.9,169.2,174.4,177.7,180.6,180.7,183.0,187.6,192.2,190.7,193.8,193.6,194.0,194.1,194.6,194.9,194.7,194.3,194.9,195.4,195.4,195.9,197.9,199.4,200.301
PCU5111915111913              ,PCU5111915111913              ,"PPI industry data for Greeting card publishers-Greeting card publishing, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M04,,,,,,,100.3,103.2,110.2,113.6,118.5,124.8,129.0,136.5,146.1,152.7,159.1,161.5,167.5,174.2,176.8,180.9,193.7,202.7,209.0,214.4,212.6,216.2,216.0,216.2,216.3,216.7,216.8,216.9,216.5,216.9,217.2,216.9,217.4,218.9,219.6,220.633
