index,Index,Label,unit,start,last,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURD000SEHF01   ,CUURD000SEHF01   ,"Electricity in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1982-M01,2017-M13,,,,,,,104.6,107.6,109.6,112.3,112.2,112.9,115.3,117.6,119.6,121.8,123.6,124.0,125.8,125.2,125.1,124.4,126.7,132.0,135.3,138.9,142.3,149.9,165.8,173.601,187.1,194.78799999999998,193.891,202.102,203.989,209.02700000000002,214.94,217.33900000000003,215.696,218.65900000000002
CUURD000SEHF02   ,CUURD000SEHF02   ,"Utility (piped) gas service in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1982-M01,2017-M13,,,,,,,106.3,104.8,98.2,94.3,96.9,93.2,94.0,95.4,98.5,98.8,101.7,97.9,103.5,109.1,110.3,111.1,130.4,155.5,138.6,156.6,168.3,200.2,212.2,205.78400000000002,231.673,179.708,168.10299999999995,163.6,154.269,154.904,166.66,153.184,144.433,148.171
CUURD000SEMC     ,CUURD000SEMC     ,"Professional services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,62.9,68.9,78.3,86.9,93.5,100.2,106.3,111.6,119.2,129.3,136.6,145.9,158.2,165.9,176.4,185.8,196.8,207.7,214.5,223.1,230.1,234.8,239.4,250.7,259.5,266.7,275.3,286.0,293.5,306.487,318.369,327.252,335.853,344.106,350.72,362.023,367.899,370.82199999999995,386.931,385.375
CUURD000SETA     ,CUURD000SETA     ,"New and used motor vehicles in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,100.7,100.6,101.5,101.1,98.7,96.1,94.0,96.5,95.3,93.76,92.18,91.90100000000001,96.501,99.50200000000001,100.90799999999999,102.62200000000001,103.381,104.184,103.335,101.477
CUURD000SETA01   ,CUURD000SETA01   ,"New vehicles in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,75.0,81.0,87.3,92.6,97.0,100.1,102.9,106.4,111.0,114.9,116.6,119.4,121.9,127.1,130.8,133.8,138.0,141.4,144.2,144.6,145.0,144.7,145.0,143.7,141.3,142.4,144.9,147.2,143.6,141.115,137.912,140.938,143.422,148.69799999999995,152.674,155.755,157.933,162.082,162.342,160.425
CUURD000SETA02   ,CUURD000SETA02   ,"Used cars and trucks in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,55.8,60.2,62.3,76.9,88.8,98.7,112.5,113.7,108.8,113.4,118.9,121.7,118.8,118.8,123.4,132.3,139.4,153.9,153.3,146.2,144.5,144.7,148.5,147.6,140.6,131.5,121.5,127.6,128.2,125.095,123.573,116.734,131.304,135.239,135.02200000000002,136.526,135.972,133.964,131.001,126.37
CUURD000SETB     ,CUURD000SETB     ,"Motor fuel in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,52.2,69.8,97.1,108.9,103.5,99.4,97.2,97.0,75.5,78.3,77.9,87.2,98.8,96.9,94.6,94.0,94.0,97.2,104.4,104.3,88.9,97.7,125.4,121.2,110.2,128.7,153.5,191.3,216.2,231.264,270.092,192.49400000000003,228.717,289.9790000000001,297.301,288.70599999999996,279.344,199.96900000000002,179.697,203.679
CUURD000SETB01   ,CUURD000SETB01   ,"Gasoline (all types) in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,52.2,69.8,97.2,108.9,103.5,99.5,97.1,96.9,75.4,78.3,77.8,87.2,98.4,96.4,94.0,93.3,93.5,96.9,103.8,103.9,88.2,97.0,124.5,120.3,109.5,127.8,152.4,189.8,214.5,229.56,266.772,191.653,227.49900000000002,288.1,294.967,286.33799999999997,276.75,198.143,178.327,202.0
CUURD000SS45011  ,CUURD000SS45011  ,"New cars in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,75.0,81.0,87.3,92.6,96.9,100.0,103.1,106.6,111.0,115.0,117.3,119.7,120.8,125.7,129.6,131.7,135.5,138.3,141.1,140.9,141.1,139.8,139.7,139.2,136.6,135.7,137.5,141.4,140.0,138.35399999999998,140.27200000000002,141.97899999999996,141.592,148.01,152.754,154.591,155.47799999999995,155.821,155.173,152.988
CUURD000SS4501A  ,CUURD000SS4501A  ,"New cars and trucks in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,100.4,100.1,100.4,99.5,97.8,98.4,100.0,101.5,99.1,97.348,95.148,97.206,99.008,102.68299999999999,105.425,107.512,108.97,112.009,112.2,110.87299999999999
CUURD000SS47014  ,CUURD000SS47014  ,"Gasoline, unleaded regular in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1982-M01,2017-M13,,,,,,,97.1,97.6,75.2,77.5,76.6,84.7,95.4,93.5,90.9,89.8,89.6,93.2,100.0,100.2,84.4,93.0,119.9,116.0,104.7,122.4,146.2,182.7,206.8,220.479,255.942,183.132,217.695,276.086,282.329,273.425,263.591,186.95,167.352,189.753
CUURD000SS47015  ,CUURD000SS47015  ,"Gasoline, unleaded midgrade in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1993.12=100,1993-M12,2017-M13,,,,,,,,,,,,,,,,,103.8,107.2,115.1,114.9,97.5,106.6,137.2,131.1,122.4,141.7,169.1,210.6,237.1,255.947,299.1020000000001,216.416,257.06,325.96,334.087,325.241,318.264,232.80599999999998,212.395,237.46400000000003
CUURD000SS47016  ,CUURD000SS47016  ,"Gasoline, unleaded premium in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1982-M01,2017-M13,,,,,,,98.3,98.2,79.7,81.5,81.2,90.4,103.0,100.3,98.1,96.6,97.5,101.3,106.5,106.7,92.9,101.9,128.5,124.1,114.8,132.1,155.8,192.0,214.9,231.653,269.934,197.28099999999998,232.16400000000002,290.2920000000001,298.972,293.293,286.8520000000001,216.18400000000003,201.132,227.387
