index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
WDU08110367                   ,WDU08110367                   ,"PPI Commodity data for Lumber and wood products-Cedar,shingles,no.1, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,87.3,81.2,63.9,93.1,87.0,74.1,73.0,77.6,91.1,91.4,83.2,78.1,88.8,78.8,72.2,81.4,95.6,103.1,98.7,94.8,100.0,151.7,171.9,126.8,166.3,229.1,269.7,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110371                   ,WDU08110371                   ,"PPI Commodity data for Lumber and wood products-Studs, Stud and Better grade, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,117.6,135.4,112.4,122.2,152.0,186.8,213.3,194.4,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU081104                     ,WDU081104                     ,"PPI Commodity data for Lumber and wood products-Rough softwood lumber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,100.0,101.7,98.2,93.4,94.5,103.5,109.6,118.6,115.7,116.0,134.2,174.7,178.6,164.1,165.4,182.0,162.9,172.0,168.3,161.0,162.6,164.3,,,,,,,,,
WDU08110401                   ,WDU08110401                   ,"PPI Commodity data for Lumber and wood products-Boards, eastern species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,94.4,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110402                   ,WDU08110402                   ,"PPI Commodity data for Lumber and wood products-Boards, western species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5,100.0,114.2,107.4,106.0,112.2,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110403                   ,WDU08110403                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, eastern species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,,106.7,110.8,108.5,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110404                   ,WDU08110404                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, western species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.1,100.0,95.5,87.1,73.9,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110405                   ,WDU08110405                   ,"PPI Commodity data for Lumber and wood products-Over 2"" lumber, eastern species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,100.0,99.2,99.2,98.5,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110406                   ,WDU08110406                   ,"PPI Commodity data for Lumber and wood products-Over 2"" lumber, western species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,100.0,97.2,92.7,94.5,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110411                   ,WDU08110411                   ,"PPI Commodity data for Lumber and wood products-Eastern species, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,106.5,109.7,112.0,107.8,109.5,122.0,137.2,126.8,114.4,138.0,130.8,130.3,127.9,121.4,128.3,132.7,,,,,,,,,
WDU08110412                   ,WDU08110412                   ,"PPI Commodity data for Lumber and wood products-Western species, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3,115.9,128.2,122.8,125.2,152.1,208.2,206.6,189.6,201.2,208.3,178.7,197.1,192.5,185.0,179.7,176.4,,,,,,,,,
WDU08110501                   ,WDU08110501                   ,"PPI Commodity data for Lumber and wood products-Softwood flooring, not seasonally adjusted, discontinued",Index base: 1982 = 100,1987-M01,1989-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,127.7,128.9,,,,,,,,,,,,,,,,,,,,,,,
WDU08110502                   ,WDU08110502                   ,"PPI Commodity data for Lumber and wood products-Woodsiding, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1995-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3,100.0,109.1,104.8,94.7,97.6,111.1,110.9,108.2,117.8,121.6,143.2,155.0,158.6,,,,,,,,,,,,,,,,,,
WDU081201                     ,WDU081201                     ,"PPI Commodity data for Lumber and wood products-Rough hardwood lumber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M01,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,100.0,115.6,134.4,119.9,122.6,133.9,138.0,132.4,133.0,129.0,146.9,176.0,177.8,173.6,170.4,181.7,182.5,183.4,198.9,188.1,186.0,199.7,,,,,,,,,
WDU08120101                   ,WDU08120101                   ,"PPI Commodity data for Lumber and wood products-Oak, red, flooring, select, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,73.9,83.8,75.5,92.5,101.0,87.5,88.2,88.8,99.5,102.7,92.1,91.7,97.6,99.1,93.0,89.2,95.2,102.4,107.8,122.4,100.0,108.6,126.7,113.4,114.3,127.6,201.9,203.2,,,226.8,284.6,358.5,322.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120102                   ,WDU08120102                   ,"PPI Commodity data for Lumber and wood products-Oak,red,no.1 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,81.9,88.5,75.2,92.3,96.9,91.5,89.6,84.8,90.7,96.5,82.0,83.0,93.5,92.9,81.4,82.5,86.6,92.8,101.8,117.2,100.0,110.4,143.5,127.8,119.3,143.9,210.4,239.5,179.5,219.4,274.0,339.3,359.0,309.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120106                   ,WDU08120106                   ,"PPI Commodity data for Lumber and wood products-Oak,white, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,78.1,82.4,82.9,94.5,98.8,103.1,103.6,103.6,104.0,107.7,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,100.0,100.6,130.8,120.7,110.9,135.5,196.3,219.6,166.0,199.3,251.8,315.3,329.5,275.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120107                   ,WDU08120107                   ,"PPI Commodity data for Lumber and wood products-Oak, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,100.0,119.7,140.7,120.3,124.1,141.4,141.5,130.4,132.0,130.8,153.9,183.1,178.4,179.1,177.9,187.3,190.5,183.4,189.6,182.4,180.1,195.7,,,,,,,,,
WDU08120109                   ,WDU08120109                   ,"PPI Commodity data for Lumber and wood products-Gum, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1992-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,100.0,102.9,113.7,113.4,113.1,113.5,114.5,115.0,115.9,115.9,,,,,,,,,,,,,,,,,,,,,
WDU08120111                   ,WDU08120111                   ,"PPI Commodity data for Lumber and wood products-Gum,no.1 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,61.9,68.5,57.1,74.3,77.7,60.8,72.6,63.4,61.5,70.0,64.9,71.0,71.6,67.9,64.6,72.6,76.1,75.7,81.5,103.4,100.0,84.9,85.7,92.8,97.0,109.4,142.4,159.3,115.0,125.4,126.8,163.5,181.7,181.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120112                   ,WDU08120112                   ,"PPI Commodity data for Lumber and wood products-Gum,no.2 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,73.4,70.8,64.3,82.4,87.8,70.6,85.2,76.2,74.3,81.2,81.0,83.6,83.8,82.2,79.7,87.5,89.0,87.6,97.6,109.0,100.0,99.2,127.8,125.6,113.7,139.7,197.0,217.8,159.9,174.2,211.3,279.5,294.5,272.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120113                   ,WDU08120113                   ,"PPI Commodity data for Lumber and wood products-Maple, gum, and ash rough, not seasonally adjusted, discontinued",Index base: 1995.06 = 100,1995-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,106.1,103.8,109.3,129.6,123.6,120.7,124.5,,,,,,,,,
WDU08120121                   ,WDU08120121                   ,"PPI Commodity data for Lumber and wood products-Maple,flooring, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1975-M13,60.5,69.7,67.2,68.0,75.4,72.2,67.2,64.8,68.4,76.2,80.6,80.7,79.5,78.7,76.9,76.8,77.5,78.2,79.3,90.0,100.0,104.5,103.8,106.3,108.9,114.8,144.7,179.8,190.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120122                   ,WDU08120122                   ,"PPI Commodity data for Lumber and wood products-Maple, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,47.8,63.8,63.2,67.2,72.7,72.7,73.2,73.3,74.6,85.5,86.2,82.1,81.1,85.5,86.7,86.7,86.5,83.9,84.4,91.2,100.0,97.3,92.3,90.5,96.6,109.8,123.1,130.9,128.6,133.5,153.1,163.1,186.0,187.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120131                   ,WDU08120131                   ,"PPI Commodity data for Lumber and wood products-Poplar,no.1 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,56.6,66.5,63.5,77.4,83.1,80.1,82.1,83.1,83.1,83.1,81.7,79.9,79.9,79.9,79.9,79.9,82.5,85.3,86.2,94.9,100.0,100.3,103.3,105.4,105.4,108.4,150.4,173.2,120.5,131.0,136.9,163.4,173.5,167.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120132                   ,WDU08120132                   ,"PPI Commodity data for Lumber and wood products-Poplar,no.2-B common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,76.0,78.8,61.9,82.4,83.8,78.8,84.0,82.9,78.8,85.0,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.0,85.4,97.2,100.0,92.2,99.4,106.5,107.1,113.1,169.9,187.9,134.6,140.1,153.4,203.0,235.1,235.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120133                   ,WDU08120133                   ,"PPI Commodity data for Lumber and wood products-Poplar, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,100.0,98.1,111.7,114.1,119.9,122.2,119.0,116.4,119.7,114.6,120.2,147.3,153.3,132.4,121.0,126.3,123.5,122.7,135.1,122.4,122.8,127.8,,,,,,,,,
WDU08120141                   ,WDU08120141                   ,"PPI Commodity data for Lumber and wood products-Cottonwood,no.2 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,71.8,73.3,59.2,78.6,92.5,90.8,91.9,85.1,84.4,90.9,87.1,81.4,86.6,90.4,86.2,85.0,88.8,89.8,90.1,96.4,100.0,94.0,103.5,107.8,97.2,113.0,152.3,178.9,160.9,165.6,179.1,229.0,250.8,224.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120151                   ,WDU08120151                   ,"PPI Commodity data for Lumber and wood products-Basswood, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,58.9,71.8,75.2,77.5,79.2,79.2,79.2,79.2,79.2,82.8,83.3,83.3,83.3,85.2,85.3,85.3,85.7,87.3,88.8,97.6,100.0,99.4,99.5,102.1,100.9,108.5,131.3,171.9,157.9,163.8,178.6,202.6,218.2,215.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120161                   ,WDU08120161                   ,"PPI Commodity data for Lumber and wood products-Birch,no.1 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,49.1,67.0,66.8,71.3,74.4,74.4,76.4,77.4,79.5,82.1,83.6,84.5,84.6,88.5,89.7,89.7,90.0,94.3,95.7,99.2,100.0,100.0,99.8,91.2,88.2,96.0,123.1,140.4,122.2,126.5,137.4,143.6,157.1,165.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120171                   ,WDU08120171                   ,"PPI Commodity data for Lumber and wood products-Beech, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,83.0,88.3,67.9,78.5,93.9,84.1,83.3,79.2,73.7,83.5,84.8,84.8,84.8,84.8,84.8,84.8,84.8,86.1,88.6,95.4,100.0,100.0,115.4,124.3,124.2,124.8,184.5,219.7,212.1,212.7,220.3,244.3,270.8,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120181                   ,WDU08120181                   ,"PPI Commodity data for Lumber and wood products-Cherry, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,66.1,69.1,69.1,71.2,73.5,73.5,75.7,76.5,84.1,93.3,94.1,94.1,94.4,98.0,98.1,96.6,95.6,95.6,95.6,97.1,100.0,100.7,100.6,95.9,93.0,100.9,119.8,154.8,154.0,167.4,186.1,231.2,254.6,254.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120191                   ,WDU08120191                   ,"PPI Commodity data for Lumber and wood products-Ash, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1981-M04,20.6,23.2,22.0,23.0,24.0,23.9,24.7,24.9,25.7,27.3,27.5,27.8,30.3,30.9,28.6,27.9,27.9,29.4,33.2,36.4,30.2,35.2,51.2,46.4,45.4,48.2,60.8,80.7,69.1,72.2,92.1,115.6,126.1,116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120192                   ,WDU08120192                   ,"PPI Commodity data for Lumber and wood products-Dimension stock, rough or unfinished, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,105.7,112.9,114.7,115.9,123.6,136.0,156.0,157.8,175.7,189.5,207.2,221.1,221.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120193                   ,WDU08120193                   ,"PPI Commodity data for Lumber and wood products-Dimension stock, fully machined, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,104.5,110.2,114.2,114.8,121.8,141.2,161.7,156.5,170.2,185.5,210.5,229.1,241.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120194                   ,WDU08120194                   ,"PPI Commodity data for Lumber and wood products-Dimension stock, partially machined, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,105.6,111.2,113.9,114.0,120.3,142.9,166.7,161.8,179.4,198.4,227.6,249.4,254.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120197                   ,WDU08120197                   ,"PPI Commodity data for Lumber and wood products-Misc. hardwood species, ex. oak, gum, and poplar, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1995-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,100.0,113.0,127.2,123.6,119.2,124.5,134.9,134.0,132.7,125.8,141.8,171.9,182.1,,,,,,,,,,,,,,,,,,
WDU08120199                   ,WDU08120199                   ,"PPI Commodity data for Lumber and wood products-Other rough hardwood lumber, not seasonally adjusted, discontinued",Index base: 1995.06 = 100,1995-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6,102.1,105.3,117.3,126.0,114.0,113.6,131.2,,,,,,,,,
WDU081202                     ,WDU081202                     ,"PPI Commodity data for Lumber and wood products-Dressed hardwood lumber, ex. siding, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,100.0,106.7,111.4,111.6,113.5,120.1,124.0,121.9,125.1,121.7,134.3,162.1,164.4,155.7,153.5,161.9,169.0,164.7,163.8,165.2,163.2,172.1,,,,,,,,,
WDU08120201                   ,WDU08120201                   ,"PPI Commodity data for Lumber and wood products-Oak, not seasonally adjusted, discontinued",Index base: 1982 = 100,1986-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7,116.0,110.6,113.6,109.5,127.0,162.1,158.1,146.1,142.7,151.3,158.9,151.2,150.7,153.1,152.2,161.0,,,,,,,,,
WDU08120202                   ,WDU08120202                   ,"PPI Commodity data for Lumber and wood products-Other than oak, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,100.0,112.9,126.6,127.0,124.3,125.5,130.8,131.3,134.6,131.8,140.1,161.4,169.3,163.5,162.6,170.5,177.1,176.3,175.0,175.4,172.5,181.1,,,,,,,,,
WDU08120301                   ,WDU08120301                   ,"PPI Commodity data for Lumber and wood products-Dimension stock, rough or unfinished, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1984-M06,,,,,,,,,,,,,,,,,,,,,,45.6,48.7,49.4,50.0,53.3,58.6,67.3,68.0,75.7,81.7,89.3,95.3,95.6,,100.0,106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120302                   ,WDU08120302                   ,"PPI Commodity data for Lumber and wood products-Dimension stock, fully machined, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1984-M06,,,,,,,,,,,,,,,,,,,,,,40.7,42.9,44.5,44.8,47.5,55.0,63.0,61.0,66.3,72.3,82.0,89.3,94.3,,100.0,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120303                   ,WDU08120303                   ,"PPI Commodity data for Lumber and wood products-Dimension stock, partially machined, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1984-M06,,,,,,,,,,,,,,,,,,,,,,38.2,40.2,41.2,41.2,43.5,51.7,60.3,58.5,64.9,71.7,82.3,90.2,92.0,95.7,100.0,111.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08120312                   ,WDU08120312                   ,"PPI Commodity data for Lumber and wood products-Wood frames for household furniture, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8,106.7,110.3,114.4,116.8,118.8,124.2,128.4,140.8,147.7,151.2,151.7,155.9,159.5,161.6,168.0,166.1,165.0,167.6,169.5,171.2,,,,,,,
WDU08210101                   ,WDU08210101                   ,"PPI Commodity data for Lumber and wood products-Wood kitchen cabinets and cabinetwork, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2012-M13,27.3,31.1,31.4,32.0,38.4,37.5,39.2,39.6,40.7,40.9,41.1,41.1,42.9,44.0,44.0,44.7,45.2,45.4,45.7,46.7,47.6,48.4,50.4,51.0,52.2,53.7,56.3,61.1,64.5,66.2,69.6,76.2,83.1,90.8,96.1,100.0,100.5,103.7,105.0,107.2,109.7,114.4,118.0,121.7,125.2,129.2,135.1,140.7,146.5,150.4,153.9,156.9,159.7,164.2,167.2,169.7,174.4,178.9,183.4,187.6,191.7,195.7,199.2,199.6,203.4,208.3
WDU08210103                   ,WDU08210103                   ,"PPI Commodity data for Lumber and wood products-Vanities and other cabinetwork, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,2012-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,104.0,106.7,111.2,117.9,124.8,127.1,131.5,137.4,143.1,147.5,149.5,150.9,152.7,153.5,156.7,160.0,161.6,163.1,171.2,176.1,182.8,185.8,190.6,192.8,188.9,190.9,194.8
WDU08210111                   ,WDU08210111                   ,"PPI Commodity data for Lumber and wood products-Door, Doug. fir, ext. selected grade, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1983-M06,19.2,19.3,20.4,21.9,23.3,23.2,23.0,22.6,22.6,22.9,21.9,20.2,20.4,20.8,20.7,20.7,21.9,23.4,23.4,23.4,23.5,24.4,25.4,24.7,26.6,28.2,34.0,39.3,43.2,53.6,60.8,71.3,79.8,87.9,94.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210131                   ,WDU08210131                   ,"PPI Commodity data for Lumber and wood products-Door,Ponderosa pine,exterior, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1983-M06,11.7,14.2,14.9,16.5,18.6,18.3,19.5,19.5,19.5,19.5,19.6,19.7,20.9,20.8,19.9,19.2,19.9,21.9,21.5,21.8,22.3,25.8,29.3,27.7,32.7,36.3,43.6,48.8,48.6,60.9,71.2,,90.0,91.7,102.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210135                   ,WDU08210135                   ,"PPI Commodity data for Lumber and wood products-Door, flush type, solid core birch, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M12,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,49.6,55.1,57.8,60.9,65.1,70.1,78.6,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210141                   ,WDU08210141                   ,"PPI Commodity data for Lumber and wood products-Door, interior, not seasonally adjusted, discontinued",Index base: 1982 = 100,1969-M01,1983-M06,,,,,,,,,,,,,,,,,,,,,,,30.4,28.1,32.4,36.7,42.5,49.9,50.5,62.7,71.6,,91.6,95.4,105.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210146                   ,WDU08210146                   ,"PPI Commodity data for Lumber and wood products-Door,flush type,interior,sound grade, not seasonally adjusted, discontinued",Index base: 1982 = 100,1954-M01,1972-M13,,,,,,,,56.3,52.2,52.3,52.4,53.0,54.9,54.3,53.0,53.0,53.0,55.6,58.3,59.3,57.3,62.3,75.1,76.4,74.7,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210147                   ,WDU08210147                   ,"PPI Commodity data for Lumber and wood products-Door, flush type, premium grade, not seasonally adjusted, discontinued",Index base: 1982 = 100,1957-M01,1983-M03,,,,,,,,,,,32.0,31.7,31.8,32.0,32.0,32.1,33.0,33.8,34.8,36.0,37.7,39.8,47.2,47.2,46.8,48.7,,,59.2,65.3,73.1,79.1,87.6,94.8,98.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210151                   ,WDU08210151                   ,"PPI Commodity data for Lumber and wood products-Door frame, pine, exterior, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1979-M08,16.6,20.5,21.7,23.9,28.3,27.1,29.0,29.0,29.1,29.3,29.3,29.2,29.9,29.3,28.3,27.9,28.3,29.6,28.9,28.7,26.8,28.6,36.9,34.9,36.7,40.4,44.9,50.3,48.5,60.7,73.3,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210161                   ,WDU08210161                   ,"PPI Commodity data for Lumber and wood products-Window frame,pine, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1975-M08,18.2,22.4,23.3,25.2,29.6,28.3,30.2,30.1,29.7,29.9,29.6,29.2,29.4,27.9,26.8,26.2,26.7,28.0,27.3,27.4,27.7,29.5,38.6,35.6,39.5,44.3,50.0,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210171                   ,WDU08210171                   ,"PPI Commodity data for Lumber and wood products-Window sash,Ponderosa pine, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1980-M13,14.9,17.8,18.2,19.4,21.9,21.6,22.9,22.7,22.8,23.1,23.1,23.4,24.9,25.9,24.5,23.3,24.5,27.1,27.5,28.0,28.7,33.0,36.0,30.1,36.4,43.0,47.6,51.8,50.7,,68.7,78.2,83.2,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210172                   ,WDU08210172                   ,"PPI Commodity data for Lumber and wood products-Window unit,Ponderosa pine, not seasonally adjusted, discontinued",Index base: 1982 = 100,1956-M06,1983-M06,,,,,,,,,,30.4,30.9,31.2,33.3,32.3,29.8,28.3,28.6,30.4,31.0,31.5,32.0,33.7,35.8,36.0,38.6,41.7,44.5,49.6,52.0,58.7,66.0,74.0,79.5,85.9,97.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08210174                   ,WDU08210174                   ,"PPI Commodity data for Lumber and wood products-Wood frames, frame moulding, and framed pictures, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,2002-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,105.7,110.2,117.3,129.9,138.0,154.6,159.4,161.5,167.4,174.0,176.5,178.6,180.2,183.4,183.8,188.6,,,,,,,,,,,
WDU08210182                   ,WDU08210182                   ,"PPI Commodity data for Lumber and wood products-Moulding, Ponderosa pine, not seasonally adjusted, discontinued",Index base: 1982 = 100,1955-M01,1983-M06,,,,,,,,,20.8,20.6,19.8,19.8,23.2,23.5,23.2,25.1,25.3,26.2,26.0,26.3,26.1,27.5,32.2,30.6,33.6,36.4,42.7,46.6,53.9,63.3,64.3,108.7,108.0,96.5,96.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08220101                   ,WDU08220101                   ,"PPI Commodity data for Lumber and wood products-Roof trusses, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M07,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,108.8,107.5,107.3,108.5,111.0,112.8,115.4,118.3,118.0,127.3,149.1,161.2,154.4,159.8,171.6,164.9,170.7,168.8,170.1,164.4,166.9,,,,,,,,,
WDU08220102                   ,WDU08220102                   ,"PPI Commodity data for Lumber and wood products-Floor trusses, including I-beam floor joists, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,109.3,111.8,113.2,117.7,116.6,118.0,117.0,115.6,123.4,147.8,183.4,191.9,181.0,187.1,201.6,198.0,205.7,205.7,207.9,202.6,204.6,,,,,,,,,
WDU08220103                   ,WDU08220103                   ,"PPI Commodity data for Lumber and wood products-Glued-laminated lumber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.4,106.6,103.7,99.4,101.0,109.9,113.2,116.5,115.7,122.8,155.0,155.3,150.8,153.8,155.5,140.0,150.4,144.5,134.6,134.6,133.3,,,,,,,,,
