index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WDU04260101                   ,WDU04260101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other finished leather, n.e.c., not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1989-M07,1993-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.7,116.7,120.4,,,,,,,,,,,,,,,,,,,
WDU04270101                   ,WDU04270101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Finished cattlehide and kipside leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2003-M13,32.5,31.0,28.5,33.2,40.0,27.1,27.8,24.8,24.6,26.8,25.9,26.8,34.3,30.0,31.1,32.5,30.4,30.2,31.6,35.2,31.8,31.9,35.2,34.9,34.9,45.5,51.1,47.6,47.0,59.5,62.2,73.5,114.4,100.0,102.3,100.0,105.3,117.9,113.1,121.9,138.9,161.7,164.5,171.8,165.4,163.5,168.5,174.2,182.3,177.7,181.8,174.1,170.0,178.1,192.6,188.1,193.8,,,,,,,,
WDU04270103                   ,WDU04270103                   ,"PPI Commodity data for Hides, skins, leather, and related products-Unfinished leather, not seasonally adjusted, discontinued",Index base: 1997.12 = 100,1997-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,105.5,105.0,121.5,129.0,146.5,,,,,,,,
WDU04270105                   ,WDU04270105                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other leathers, finished and unfinished, not seasonally adjusted, discontinued",Index base: 1997.12 = 100,1997-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,88.9,91.1,105.8,111.4,108.9,,,,,,,,
WDU04270109                   ,WDU04270109                   ,"PPI Commodity data for Hides, skins, leather, and related products-Contract tanning and finishing, not seasonally adjusted, discontinued",Index base: 1997.12 = 100,1997-M12,2011-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,100.3,102.0,112.8,116.5,116.3,116.5,115.8,115.0,116.8,123.3,127.7,128.6,
WDU043101                     ,WDU043101                     ,"PPI Commodity data for Hides, skins, leather, and related products-Men's leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,61.3,66.1,72.9,87.9,,97.1,100.0,100.9,102.4,105.0,108.4,112.8,120.9,127.9,134.8,138.9,142.8,145.3,,,,,,,,,,,,,,,,,,
WDU04310102                   ,WDU04310102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Oxford, goodyear/cement, side upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1978-M13,61.2,66.7,65.2,69.7,79.0,71.5,71.0,70.9,71.7,78.8,79.9,80.0,84.1,86.6,85.8,85.9,85.5,86.2,90.3,98.4,100.0,105.5,108.9,113.3,117.9,128.6,140.7,155.1,165.0,179.1,193.3,211.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04310103                   ,WDU04310103                   ,"PPI Commodity data for Hides, skins, leather, and related products-Oxford Goodyear leather upper and sole, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M04,61.5,66.2,64.4,67.3,77.5,71.2,72.4,72.4,72.8,76.0,76.8,76.9,82.7,85.0,86.1,90.0,90.1,90.2,90.9,97.0,100.0,103.6,109.6,114.3,115.9,122.5,132.2,136.6,142.7,151.9,161.0,176.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04310104                   ,WDU04310104                   ,"PPI Commodity data for Hides, skins, leather, and related products-Oxford, goodyear, kip upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1972-M13,55.9,59.4,58.6,61.9,72.8,67.1,67.1,66.8,66.9,71.4,72.6,73.3,79.7,83.4,83.6,85.2,85.3,85.6,87.3,95.7,100.0,102.3,106.6,108.2,110.9,119.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04310109                   ,WDU04310109                   ,"PPI Commodity data for Hides, skins, leather, and related products-Dress boot side upper 1 or 2 zippers, not seasonally adjusted, discontinued",Index base: 1972.12 = 100,1972-M12,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,110.3,115.8,128.8,141.1,156.5,183.7,196.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04310112                   ,WDU04310112                   ,"PPI Commodity data for Hides, skins, leather, and related products-Work shoe, Goodyear, cowhide, upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,66.7,69.4,69.0,72.1,87.1,76.2,72.7,72.5,71.8,77.9,79.0,79.0,85.7,84.6,84.6,87.9,88.5,88.5,90.1,96.4,100.0,102.2,106.6,110.8,118.3,129.9,145.4,158.7,169.3,189.1,202.8,225.0,275.5,294.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04310113                   ,WDU04310113                   ,"PPI Commodity data for Hides, skins, leather, and related products-Dress and casual shoes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,100.0,101.7,102.5,104.2,107.2,111.4,121.3,127.5,135.8,141.0,145.0,147.8,,,,,,,,,,,,,,,,,,
WDU04310115                   ,WDU04310115                   ,"PPI Commodity data for Hides, skins, leather, and related products-Boots, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,100.0,99.5,99.5,103.0,104.6,107.9,111.2,119.0,126.3,127.8,129.6,131.4,,,,,,,,,,,,,,,,,,
WDU04310117                   ,WDU04310117                   ,"PPI Commodity data for Hides, skins, leather, and related products-Work shoes or boots, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,100.0,100.0,103.8,107.8,112.7,118.1,126.6,134.0,138.2,142.4,148.5,152.9,,,,,,,,,,,,,,,,,,
WDU04310118                   ,WDU04310118                   ,"PPI Commodity data for Hides, skins, leather, and related products-Houseslippers, except slipper socks, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M08,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,117.0,127.7,138.6,148.5,154.8,150.0,133.0,,,,,,,,,,,,,,,,,,
WDU04310119                   ,WDU04310119                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,100.0,97.8,102.0,107.3,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04310122                   ,WDU04310122                   ,"PPI Commodity data for Hides, skins, leather, and related products-Slipper, romeo, kid or side upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M02,57.6,61.8,60.2,62.4,73.7,70.7,70.2,69.9,70.2,75.5,76.7,76.8,78.4,78.9,79.1,79.8,79.8,80.3,83.4,93.6,100.0,101.9,,,,133.8,145.9,160.1,166.2,182.1,191.4,209.6,271.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU043103                     ,WDU043103                     ,"PPI Commodity data for Hides, skins, leather, and related products-Men's non-leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,100.0,101.1,101.9,99.2,103.2,102.0,107.3,114.2,115.8,119.6,121.5,122.1,,,,,,,,,,,,,,,,,,
WDU04310301                   ,WDU04310301                   ,"PPI Commodity data for Hides, skins, leather, and related products-Plastic upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1991-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,100.0,101.1,102.0,99.3,103.3,,,114.4,115.9,,,,,,,,,,,,,,,,,,,,,
WDU04310303                   ,WDU04310303                   ,"PPI Commodity data for Hides, skins, leather, and related products-Men's other upper dress and casual shoes, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1987-M01,1992-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3,96.8,99.6,98.7,105.2,109.2,,,,,,,,,,,,,,,,,,,
WDU04310306                   ,WDU04310306                   ,"PPI Commodity data for Hides, skins, leather, and related products-House slippers, except slipper socks, not seasonally adjusted, discontinued",Index base: 1990.12 = 100,1990-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8,106.4,105.9,,,,,,,,,,,,,,,,,,
WDU04310505                   ,WDU04310505                   ,"PPI Commodity data for Hides, skins, leather, and related products-Men's slippers, not seasonally adjusted, discontinued",Index base: 1993.12 = 100,1993-M12,2002-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,103.2,105.4,107.5,107.6,108.2,108.9,108.9,108.9,,,,,,,,,
WDU043201                     ,WDU043201                     ,"PPI Commodity data for Hides, skins, leather, and related products-Women's leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1972-M13,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,57.9,61.4,64.9,68.0,70.6,76.7,89.4,98.1,99.4,100.0,103.5,101.6,103.6,104.3,107.2,112.5,116.2,120.9,124.0,126.4,129.3,,,,,,,,,,,,,,,,,,
WDU04320101                   ,WDU04320101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Dress shoes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,100.0,102.0,107.2,110.5,112.1,112.0,111.4,113.2,119.6,121.1,122.2,125.5,,,,,,,,,,,,,,,,,,
WDU04320103                   ,WDU04320103                   ,"PPI Commodity data for Hides, skins, leather, and related products-Casual shoes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,100.0,103.3,102.6,108.1,109.9,114.0,120.9,128.3,132.2,134.2,137.3,140.3,,,,,,,,,,,,,,,,,,
WDU04320104                   ,WDU04320104                   ,"PPI Commodity data for Hides, skins, leather, and related products-House slippers, except slipper socks, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M08,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,116.0,151.7,161.2,164.8,166.4,165.0,156.2,,,,,,,,,,,,,,,,,,
WDU04320105                   ,WDU04320105                   ,"PPI Commodity data for Hides, skins, leather, and related products-Sandals, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1990-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,,,76.6,82.4,84.0,80.1,,,,,,,,,,,,,,,,,,,,,,
WDU04320106                   ,WDU04320106                   ,"PPI Commodity data for Hides, skins, leather, and related products-Nurse's oxford, leather, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M05,62.6,66.4,66.2,69.1,81.9,76.0,76.6,76.4,76.2,82.8,85.4,87.1,92.7,95.5,95.6,95.3,94.2,94.2,94.9,98.1,100.0,105.0,111.9,116.2,120.1,125.7,134.3,144.0,151.8,163.8,171.8,185.3,216.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320107                   ,WDU04320107                   ,"PPI Commodity data for Hides, skins, leather, and related products-Boots, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1990-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,108.4,106.9,,,103.3,107.5,108.4,,,,,,,,,,,,,,,,,,,,,,
WDU04320108                   ,WDU04320108                   ,"PPI Commodity data for Hides, skins, leather, and related products-Pump, cemented, calf upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,66.6,71.8,71.4,75.5,84.0,80.7,81.4,81.8,81.5,85.7,87.3,90.4,94.0,95.8,95.5,95.2,94.9,94.9,95.7,97.8,100.0,104.4,107.1,108.5,110.2,112.5,125.6,132.2,136.5,145.5,154.7,168.6,200.3,217.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320109                   ,WDU04320109                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,100.0,102.0,110.8,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320112                   ,WDU04320112                   ,"PPI Commodity data for Hides, skins, leather, and related products-Pump, cemented, medium quality, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1976-M13,70.5,72.6,72.5,75.9,86.4,79.5,78.3,77.8,77.8,80.8,82.9,83.7,89.0,90.5,90.7,91.6,90.9,90.4,91.3,97.3,100.0,104.3,108.9,111.4,115.1,122.8,129.2,135.1,,144.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320114                   ,WDU04320114                   ,"PPI Commodity data for Hides, skins, leather, and related products-Pump, low, med. quality, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M08,61.6,67.4,65.8,70.2,78.4,73.6,72.5,72.9,73.8,76.3,77.0,77.4,83.9,86.8,87.5,88.3,87.9,88.2,89.8,96.3,100.0,106.8,112.2,118.0,120.9,127.0,121.1,127.8,,143.4,144.9,157.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320115                   ,WDU04320115                   ,"PPI Commodity data for Hides, skins, leather, and related products-Strap style, vinyl upper, not seasonally adjusted, discontinued",Index base: 1972.12 = 100,1973-M01,1979-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,110.4,117.1,124.7,,140.0,148.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320116                   ,WDU04320116                   ,"PPI Commodity data for Hides, skins, leather, and related products-Women's slippers, cemented, not seasonally adjusted, discontinued",Index base: 1967 = 100,1973-M12,1976-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,128.3,140.4,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320118                   ,WDU04320118                   ,"PPI Commodity data for Hides, skins, leather, and related products-Slipper, slip lasted, fabric leather, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1972-M12,85.8,85.6,84.7,86.6,93.2,92.4,92.3,92.2,92.2,91.3,90.8,90.8,90.8,91.2,93.0,94.1,94.2,94.2,94.2,96.5,100.0,105.8,109.4,111.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320121                   ,WDU04320121                   ,"PPI Commodity data for Hides, skins, leather, and related products-Casual shoes,slip lasted,side . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,56.1,59.1,59.8,63.4,74.6,72.0,72.0,71.2,70.5,75.0,75.3,75.3,80.0,84.3,87.3,88.9,88.9,88.9,89.3,95.1,100.0,101.4,104.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320131                   ,WDU04320131                   ,"PPI Commodity data for Hides, skins, leather, and related products-Casual shoe, cemented, side or patent, not seasonally adjusted, discontinued",Index base: 1967 = 100,1970-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,111.8,111.2,114.7,118.9,134.7,150.6,158.1,167.7,175.0,205.7,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU043202                     ,WDU043202                     ,"PPI Commodity data for Hides, skins, leather, and related products-Women's and misses' footwear, imported, not seasonally adjusted, discontinued",Index base: 1970.12 = 100,1971-M01,1978-M05,,,,,,,,,,,,,,,,,,,,,,,,,105.3,112.6,119.1,123.1,128.5,139.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320232                   ,WDU04320232                   ,"PPI Commodity data for Hides, skins, leather, and related products-Women's dress shoe, imported, not seasonally adjusted, discontinued",Index base: 1970.12 = 100,1971-M01,1977-M06,,,,,,,,,,,,,,,,,,,,,,,,,107.9,117.9,123.9,127.4,133.2,143.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320234                   ,WDU04320234                   ,"PPI Commodity data for Hides, skins, leather, and related products-Women's sandals, imported, not seasonally adjusted, discontinued",Index base: 1970.12 = 100,1971-M01,1976-M04,,,,,,,,,,,,,,,,,,,,,,,,,98.3,98.6,106.4,111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU043203                     ,WDU043203                     ,"PPI Commodity data for Hides, skins, leather, and related products-Women's plastic upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,100.0,102.8,105.0,106.2,106.6,104.9,107.5,110.0,113.5,115.2,121.2,123.8,,,,,,,,,,,,,,,,,,
WDU04320301                   ,WDU04320301                   ,"PPI Commodity data for Hides, skins, leather, and related products-Dress shoes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,100.0,101.9,103.8,104.3,102.9,102.6,103.3,102.6,103.6,102.4,104.0,105.3,,,,,,,,,,,,,,,,,,
WDU04320303                   ,WDU04320303                   ,"PPI Commodity data for Hides, skins, leather, and related products-Casual shoes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.0,104.3,105.0,105.4,101.0,105.5,110.1,113.9,117.9,127.0,129.8,,,,,,,,,,,,,,,,,,
WDU04320305                   ,WDU04320305                   ,"PPI Commodity data for Hides, skins, leather, and related products-Sandals, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9,,102.6,117.6,124.6,130.6,,,,,,,,,,,,,,,,,,,,,,,,,
WDU043204                     ,WDU043204                     ,"PPI Commodity data for Hides, skins, leather, and related products-Women's other non-leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6,118.4,120.8,123.7,126.9,129.3,127.3,129.8,132.2,,,,,,,,,,,,,,,,,,
WDU04320403                   ,WDU04320403                   ,"PPI Commodity data for Hides, skins, leather, and related products-Casual footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1990-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,103.1,107.5,,,,,,,,,,,,,,,,,,,,,,
WDU04320404                   ,WDU04320404                   ,"PPI Commodity data for Hides, skins, leather, and related products-Women's other upper dress shoes, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1990-M11,1991-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.8,,,,,,,,,,,,,,,,,,,,
WDU04320405                   ,WDU04320405                   ,"PPI Commodity data for Hides, skins, leather, and related products-Women's other upper sandals, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1985-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04320407                   ,WDU04320407                   ,"PPI Commodity data for Hides, skins, leather, and related products-House slippers, except slipper socks, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5,113.2,117.0,119.2,115.2,110.2,107.5,109.6,,,,,,,,,,,,,,,,,,
WDU04320505                   ,WDU04320505                   ,"PPI Commodity data for Hides, skins, leather, and related products-Women's slippers, not seasonally adjusted, discontinued",Index base: 1993.12 = 100,1993-M12,2002-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,102.2,104.0,104.0,105.6,107.8,107.8,105.6,105.6,,,,,,,,,
WDU0433                       ,WDU0433                       ,"PPI Commodity data for Hides, skins, leather, and related products-Children's footwear, except athletic, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2002-M13,34.7,35.6,35.2,36.6,40.8,37.2,37.3,37.4,37.7,39.8,39.8,40.5,41.8,42.0,42.1,42.5,42.5,42.6,43.7,46.9,48.5,52.1,54.8,56.8,58.1,61.2,63.2,67.2,69.7,72.5,74.3,77.9,86.4,93.6,97.1,100.0,101.3,104.0,105.6,106.5,109.2,115.7,123.5,130.2,135.5,132.9,137.7,138.8,140.6,142.0,144.0,144.0,144.7,145.7,150.5,154.1,,,,,,,,,
WDU043301                     ,WDU043301                     ,"PPI Commodity data for Hides, skins, leather, and related products-Children's footwear, except athletic, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,2002-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,72.5,74.3,77.9,86.4,93.6,97.1,100.0,101.3,104.0,105.6,106.5,109.2,115.7,123.5,130.2,135.5,132.9,137.7,138.8,140.6,142.0,144.0,144.0,144.7,145.7,150.5,154.1,,,,,,,,,
WDU04330101                   ,WDU04330101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Children's footwear, except slippers, not seasonally adjusted, discontinued",Index base: 1993.12 = 100,1993-M12,2002-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,101.5,102.8,104.1,104.2,104.8,105.7,110.3,113.9,,,,,,,,,
WDU04330111                   ,WDU04330111                   ,"PPI Commodity data for Hides, skins, leather, and related products-Oxford, goodyear, elk or kip upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1979-M03,63.5,65.3,64.7,67.3,75.3,71.0,71.0,71.3,71.3,74.4,75.6,77.4,79.5,80.1,80.8,82.3,82.3,83.4,86.2,92.1,100.0,107.7,111.9,117.5,120.3,125.2,129.8,133.8,,,,165.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04330112                   ,WDU04330112                   ,"PPI Commodity data for Hides, skins, leather, and related products-Pump, cemented, patent side upper, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1979-M13,,,,,,,,,,,,,,,89.8,90.3,90.2,90.2,92.1,99.0,100.0,107.1,113.3,,120.1,127.3,131.0,141.3,147.1,151.6,153.5,160.5,177.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04330141                   ,WDU04330141                   ,"PPI Commodity data for Hides, skins, leather, and related products-Children's leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,100.0,101.6,105.9,108.5,110.1,111.7,120.1,129.7,138.4,144.8,141.6,147.5,,,,,,,,,,,,,,,,,,
WDU04330143                   ,WDU04330143                   ,"PPI Commodity data for Hides, skins, leather, and related products-Children's non-leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1989-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,107.4,,121.5,,,,,,,,,,,,,,,,,,,,,,
WDU04330145                   ,WDU04330145                   ,"PPI Commodity data for Hides, skins, leather, and related products-Children's slippers, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,1988-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,,,,,,,,,,,,,,,,,,,,,,,,
WDU0434                       ,WDU0434                       ,"PPI Commodity data for Hides, skins, leather, and related products-Misses' footwear (size 12 1/2 - 2 1/2), not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,100.0,101.1,102.8,103.8,104.2,105.8,113.4,117.9,117.9,122.7,130.9,131.1,,,,,,,,,,,,,,,,,,
WDU043401                     ,WDU043401                     ,"PPI Commodity data for Hides, skins, leather, and related products-Misses' footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,100.0,101.1,102.8,103.8,104.2,105.8,113.4,117.9,117.9,122.7,130.9,131.1,,,,,,,,,,,,,,,,,,
WDU04340147                   ,WDU04340147                   ,"PPI Commodity data for Hides, skins, leather, and related products-Misses' leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,100.0,101.7,104.4,105.8,105.8,107.7,114.2,119.7,117.0,118.9,120.2,120.6,,,,,,,,,,,,,,,,,,
WDU04340149                   ,WDU04340149                   ,"PPI Commodity data for Hides, skins, leather, and related products-Misses non-leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,101.2,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0435                       ,WDU0435                       ,"PPI Commodity data for Hides, skins, leather, and related products-Youths', boys' ftwear. (size 12 1/2-6), not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,2001-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,100.0,103.3,,107.9,107.9,109.6,113.8,126.0,128.9,128.9,131.2,,131.8,131.8,131.9,132.8,134.3,140.0,140.1,,,,,,,,,,,
WDU043501                     ,WDU043501                     ,"PPI Commodity data for Hides, skins, leather, and related products-Youths', boys' footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,2001-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,100.0,103.3,107.7,107.9,107.9,109.6,113.8,126.0,128.9,128.9,131.2,,131.8,131.8,131.9,132.8,134.3,140.0,140.1,,,,,,,,,,,
WDU04350101                   ,WDU04350101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Youths' and boys' footwear, not seasonally adjusted, discontinued",Index base: 1993.12 = 100,1993-M12,2001-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,100.2,100.3,100.9,102.1,106.4,106.5,,,,,,,,,,,
WDU04350153                   ,WDU04350153                   ,"PPI Commodity data for Hides, skins, leather, and related products-Youths' and boys' leather upper footwear, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1989-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,100.0,101.2,,,,107.3,,125.7,,,,,,,,,,,,,,,,,,,,,,
