index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
WDU10130277                   ,WDU10130277                   ,"PPI Commodity data for Metals and metal products-Mechanical tubing, carbon, seamless, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M01,1982-M06,,,,,,,,,,,,,,,,67.3,68.9,75.0,82.7,86.8,89.3,89.3,89.3,89.3,90.5,93.1,94.6,97.4,100.0,102.3,107.0,112.3,124.5,129.9,134.8,158.2,,,244.9,277.9,307.9,342.5,402.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130278                   ,WDU10130278                   ,"PPI Commodity data for Metals and metal products-Mechanical tubing, stainless, weld, not seasonally adjusted, discontinued",Index base: 1967 = 100,1963-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,99.4,96.5,96.5,96.5,98.3,127.7,207.3,227.0,227.0,224.1,208.4,206.5,214.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130279                   ,WDU10130279                   ,"PPI Commodity data for Metals and metal products-Mechanical tubing, stainless, seamless, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M01,1982-M06,,,,,,,,,,,,,,,,83.5,87.9,92.4,101.9,104.2,104.5,101.7,98.1,96.9,96.8,96.8,96.8,96.9,100.0,104.3,108.7,115.1,118.5,122.7,126.3,138.2,,,,,175.2,196.0,229.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130281                   ,WDU10130281                   ,"PPI Commodity data for Metals and metal products-Tin free steel, carbon, dbl. c.r., not seasonally adjusted, discontinued",Index base: 1970.12 = 100,1971-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,106.8,110.6,137.6,166.7,164.0,174.4,205.1,228.9,251.5,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130282                   ,WDU10130282                   ,"PPI Commodity data for Metals and metal products-Tin plate, electrolytic, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M01,1982-M06,,,,,,,,,,,,,,,,78.6,80.6,87.0,91.9,93.8,96.7,96.7,96.7,96.7,96.7,96.7,97.0,99.5,100.0,103.0,106.4,113.5,119.4,128.5,133.8,163.8,200.5,213.5,231.6,263.7,299.9,336.6,363.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130283                   ,WDU10130283                   ,"PPI Commodity data for Metals and metal products-Tin plate, electrolytic, coils, not seasonally adjusted, discontinued",Index base: 1967 = 100,1963-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,96.5,96.5,96.8,99.5,100.0,103.2,106.8,114.2,120.7,130.4,134.4,168.9,201.6,214.5,237.2,269.9,307.5,344.8,372.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130284                   ,WDU10130284                   ,"PPI Commodity data for Metals and metal products-Tin plate, elec., carbon, dbl.c.r., not seasonally adjusted, discontinued",Index base: 1967 = 100,1963-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,96.3,99.6,100.0,102.3,104.8,112.1,119.8,126.5,130.3,159.9,186.7,186.0,198.4,231.1,263.4,289.5,317.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130285                   ,WDU10130285                   ,"PPI Commodity data for Metals and metal products-Black plate, carbon, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M01,1982-M06,,,,,,,,,,,,,,,,80.8,83.1,90.6,96.4,98.6,102.0,102.0,102.0,102.0,102.0,102.0,101.6,99.4,100.0,104.2,111.6,120.2,127.4,139.1,143.7,177.4,219.6,239.6,261.0,296.0,330.6,367.3,392.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130286                   ,WDU10130286                   ,"PPI Commodity data for Metals and metal products-Drawn wire, carbon, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,40.5,44.4,48.1,53.6,56.9,58.4,67.3,73.2,77.6,82.6,92.9,97.0,98.9,98.9,98.9,98.9,98.9,98.7,99.1,99.9,100.0,102.8,107.0,110.9,119.2,125.8,134.4,183.1,221.5,232.2,255.4,274.3,293.4,311.8,347.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130287                   ,WDU10130287                   ,"PPI Commodity data for Metals and metal products-Drawn wire stainless, type 302, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M01,1982-M06,,,,,,,,,,,,,,,,79.2,81.6,88.0,93.2,94.8,96.6,96.6,96.6,96.7,96.7,96.7,98.8,99.9,100.0,101.4,109.5,122.0,125.2,130.0,137.6,155.2,168.4,177.0,183.2,187.5,205.9,241.6,259.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130288                   ,WDU10130288                   ,"PPI Commodity data for Metals and metal products-Baling wire, carbon, not seasonally adjusted, discontinued",Index base: 1967 = 100,1954-M01,1982-M06,,,,,,,,,,,,,,,,74.7,80.0,88.4,99.3,103.5,103.5,101.0,99.3,99.3,99.3,99.3,98.3,99.5,100.0,100.1,102.7,108.8,115.6,126.6,134.1,214.5,239.9,225.1,231.5,253.3,299.2,318.5,337.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130289                   ,WDU10130289                   ,"PPI Commodity data for Metals and metal products-Nails, wire, 8d common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,50.1,65.4,69.0,71.2,77.8,80.0,84.2,87.0,93.4,101.7,109.3,112.0,112.0,109.4,107.6,107.6,107.6,107.6,107.6,101.6,100.0,100.1,107.8,114.8,124.7,133.5,140.4,207.1,241.4,243.6,261.3,273.5,298.5,331.9,356.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130291                   ,WDU10130291                   ,"PPI Commodity data for Metals and metal products-Nails, wire, galv., 8 d common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1963-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,103.1,103.2,103.2,100.6,100.0,100.1,106.1,112.5,121.3,130.9,138.2,214.3,242.8,247.1,264.6,275.9,300.8,336.3,362.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130292                   ,WDU10130292                   ,"PPI Commodity data for Metals and metal products-Staples, fence, galv., carbon steel, not seasonally adjusted, discontinued",Index base: 1967 = 100,1963-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,94.5,94.5,94.5,98.5,100.0,100.2,105.3,112.8,124.5,135.8,146.9,199.5,236.6,240.5,257.8,272.5,290.0,323.8,342.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130293                   ,WDU10130293                   ,"PPI Commodity data for Metals and metal products-Barbed wire, galvanized, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,54.8,58.4,56.4,58.4,64.1,65.2,76.0,79.7,85.5,92.4,97.7,99.6,99.7,97.8,95.6,95.7,95.8,96.1,96.0,95.9,100.0,100.7,104.8,113.9,122.1,132.1,142.1,204.2,232.8,234.4,252.9,270.3,290.6,321.8,350.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130294                   ,WDU10130294                   ,"PPI Commodity data for Metals and metal products-Woven wire fence, galvanized, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,44.7,52.6,55.4,59.3,64.9,66.2,69.4,72.6,78.3,85.6,93.2,95.8,95.9,93.9,91.9,92.0,92.1,92.3,95.0,97.4,100.0,101.3,105.8,112.5,121.3,131.3,137.6,186.9,204.6,205.7,225.9,242.4,264.4,291.4,311.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130295                   ,WDU10130295                   ,"PPI Commodity data for Metals and metal products-Bars, h.r., stainless, forging, 410, not seasonally adjusted, discontinued",Index base: 1977.12 = 100,1977-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,116.4,133.0,141.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130296                   ,WDU10130296                   ,"PPI Commodity data for Metals and metal products-Bars, centerless ground, stainless, 416 lb., not seasonally adjusted, discontinued",Index base: 1977.12 = 100,1977-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,115.6,132.2,140.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130297                   ,WDU10130297                   ,"PPI Commodity data for Metals and metal products-Drawn wire, stainless, type 410, not seasonally adjusted, discontinued",Index base: 1977.12 = 100,1977-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,113.1,129.1,138.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130298                   ,WDU10130298                   ,"PPI Commodity data for Metals and metal products-Bars, h.r., carbon, merchant quality, not seasonally adjusted, discontinued",Index base: 1977.06 = 100,1977-M06,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4,129.6,140.2,147.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10130299                   ,WDU10130299                   ,"PPI Commodity data for Metals and metal products-Bands (sheet), h.r. carbon, not seasonally adjusted, discontinued",Index base: 1968.12 = 100,1969-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,137.1,144.5,155.7,156.7,189.9,209.2,231.0,259.3,289.8,320.0,335.5,379.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101501                     ,WDU101501                     ,"PPI Commodity data for Metals and metal products-Foundry & forge shop prod., not seasonally adjusted, discontinued",Index base: 1967 = 100,1975-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.3,218.6,230.5,249.5,277.1,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150101                   ,WDU10150101                   ,"PPI Commodity data for Metals and metal products-Gray iron castings, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,,,,,,,,,48.9,55.4,56.1,56.5,61.4,62.3,66.4,67.9,69.7,76.0,79.6,80.3,83.0,84.8,84.9,86.0,86.9,87.7,89.2,91.9,100.0,102.1,104.5,112.2,119.9,122.1,131.9,154.3,180.1,199.8,211.1,225.1,245.5,270.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150103                   ,WDU10150103                   ,"PPI Commodity data for Metals and metal products-Malleable iron casting, not seasonally adjusted, discontinued",Index base: 1969.12 = 100,1968-M13,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,,107.1,113.9,118.7,128.3,156.8,182.1,200.9,209.5,224.1,248.3,272.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150111                   ,WDU10150111                   ,"PPI Commodity data for Metals and metal products-Ingot molds, not seasonally adjusted, discontinued",Index base: 1967.12 = 100,1968-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,103.6,110.3,121.7,126.9,132.3,193.9,271.0,273.4,285.8,304.5,331.6,358.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150126                   ,WDU10150126                   ,"PPI Commodity data for Metals and metal products-Pressure pipe, cast iron, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,,,,,,,,,59.6,72.1,72.3,68.8,78.5,78.5,82.8,84.0,86.1,93.1,98.9,101.6,101.6,101.6,101.6,101.7,96.0,98.5,100.4,100.3,100.0,101.4,101.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150131                   ,WDU10150131                   ,"PPI Commodity data for Metals and metal products-Soil pipe, cast iron, extra heavy, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,,,,,,,,,70.8,93.1,93.8,92.2,103.0,96.0,92.3,91.2,95.0,95.4,99.0,97.1,100.0,100.9,95.3,91.1,93.3,93.6,95.0,97.5,100.0,101.1,101.5,101.5,112.3,111.2,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150132                   ,WDU10150132                   ,"PPI Commodity data for Metals and metal products-Soil pipe, cast iron, service weight, not seasonally adjusted, discontinued",Index base: 1967 = 100,1957-M01,1973-M13,,,,,,,,,,,,,,,,,,,98.7,97.5,100.3,101.1,95.9,91.8,93.7,94.0,95.3,97.7,100.0,100.7,98.2,101.0,111.6,111.6,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150133                   ,WDU10150133                   ,"PPI Commodity data for Metals and metal products-Soil pipe, cast iron, 2 inch service wt.5 ft., not seasonally adjusted, discontinued",Index base: 1968.12 = 100,1969-M01,1973-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.8,113.6,113.6,114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150141                   ,WDU10150141                   ,"PPI Commodity data for Metals and metal products-Steel castings, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M06,,,,,,,,,46.0,52.8,55.8,56.8,62.4,62.5,66.6,69.2,71.1,79.9,88.0,93.2,96.4,96.8,97.0,97.0,97.0,97.1,98.1,99.0,100.0,105.7,113.4,119.5,125.3,129.0,132.2,163.9,196.8,216.3,234.4,257.3,291.9,327.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150151                   ,WDU10150151                   ,"PPI Commodity data for Metals and metal products-Closed die forgings, carbon steel, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,91.0,91.3,91.7,93.7,95.8,97.6,100.0,104.6,108.7,115.3,123.1,135.9,143.3,169.1,200.4,223.2,246.6,273.7,310.0,349.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150153                   ,WDU10150153                   ,"PPI Commodity data for Metals and metal products-Closed die forgings, alloy steel, not seasonally adjusted, discontinued",Index base: 1967 = 100,1962-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,92.8,93.2,95.0,95.3,97.9,100.0,102.0,108.1,117.1,122.9,130.5,136.9,161.8,191.9,215.2,235.9,264.5,297.8,337.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150235                   ,WDU10150235                   ,"PPI Commodity data for Metals and metal products-Soil pipe and fittings, gray and ductile iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,,101.1,126.2,137.1,155.8,156.9,164.7,181.4,172.2,178.6,164.9,163.6,178.1,186.3,200.3,215.5,,,,,,,,341.7,366.3,391.3,401.3,399.2,392.8,447.1,,,,,,
WDU10150237                   ,WDU10150237                   ,"PPI Commodity data for Metals and metal products-Pressure pipe and fittings, ductile iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M01,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,100.0,99.2,102.8,104.6,104.9,105.7,109.6,109.6,109.5,109.5,110.3,113.3,120.0,125.0,128.0,133.6,132.7,132.7,140.2,146.9,146.9,147.4,161.7,185.8,200.3,211.2,266.8,268.9,282.1,298.9,,,,,,
WDU10150239                   ,WDU10150239                   ,"PPI Commodity data for Metals and metal products-Pressure pipe and fittings, gray iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2008-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,100.0,101.9,104.9,109.6,112.3,112.4,118.1,123.0,129.6,132.7,141.0,146.0,154.3,161.4,171.0,175.4,167.4,166.9,172.1,171.6,175.9,189.7,221.1,247.2,255.6,,,,,,,,,,,
WDU101503                     ,WDU101503                     ,"PPI Commodity data for Metals and metal products-Motor vehicle castings, gray/ductile iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,100.0,106.6,110.8,109.5,108.6,108.2,108.9,110.2,112.9,114.9,115.0,115.3,117.0,123.6,126.0,126.6,126.8,127.6,129.8,129.7,130.0,130.8,,,,,,,,,,,,,,
WDU10150321                   ,WDU10150321                   ,"PPI Commodity data for Metals and metal products-Castings for passenger cars, gray iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,100.0,109.6,115.7,113.0,111.7,111.4,112.3,112.7,115.8,119.1,119.3,119.1,120.4,127.1,127.8,127.6,128.7,132.8,138.0,138.4,138.8,137.0,,,,,,,,,,,,,,
WDU10150322                   ,WDU10150322                   ,"PPI Commodity data for Metals and metal products-Castings for other motor vehicles, gray iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,100.0,101.7,103.6,103.9,103.6,103.1,104.8,107.5,109.9,114.4,115.2,116.8,119.7,125.6,130.6,132.5,131.4,128.6,127.2,126.6,126.6,129.6,,,,,,,,,,,,,,
WDU10150323                   ,WDU10150323                   ,"PPI Commodity data for Metals and metal products-Castings for passenger cars, ductile iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,100.0,103.3,103.5,105.3,105.9,105.6,105.6,107.9,110.5,107.8,106.3,105.4,105.9,113.7,115.9,116.6,116.7,116.6,117.7,117.7,118.2,118.8,,,,,,,,,,,,,,
WDU10150324                   ,WDU10150324                   ,"PPI Commodity data for Metals and metal products-Castings for other motor vehicles, ductile iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.9,98.1,97.1,97.5,97.7,98.8,99.4,100.4,101.3,103.9,109.0,111.3,111.5,111.6,111.4,112.7,112.2,112.6,116.5,,,,,,,,,,,,,,
WDU10150423                   ,WDU10150423                   ,"PPI Commodity data for Metals and metal products-Molds & stools for heavy steel ingots, not seasonally adjusted, discontinued",Index base: 1982 = 100,1968-M01,1993-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.8,27.5,30.3,31.6,33.0,48.3,67.5,68.1,71.2,75.9,82.6,89.3,97.2,100.0,98.0,98.0,98.5,97.7,95.0,93.9,93.6,95.4,99.4,106.3,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150425                   ,WDU10150425                   ,"PPI Commodity data for Metals and metal products-Castings for construction & utility use, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,100.0,100.8,102.8,104.8,105.7,104.6,,,,,119.0,123.3,127.6,133.5,137.1,137.6,138.6,138.9,139.3,139.6,140.0,139.9,,,,,,,,,,,,,,
WDU10150427                   ,WDU10150427                   ,"PPI Commodity data for Metals and metal products-Ductile iron castings, other, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,100.0,101.3,103.5,109.8,109.9,107.8,109.6,111.9,112.4,112.8,114.2,115.3,119.4,123.4,124.8,126.3,128.6,130.7,131.5,130.7,130.1,130.7,,,,,,,,,,,,,,
WDU10150428                   ,WDU10150428                   ,"PPI Commodity data for Metals and metal products-Other gray and ductile iron castings, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,113.0,116.7,120.4,138.1,130.8,138.9,148.4,,,,,,
WDU10150429                   ,WDU10150429                   ,"PPI Commodity data for Metals and metal products-Gray iron castings, other, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,100.0,100.2,101.3,103.5,104.3,105.1,108.7,112.2,115.6,116.9,118.7,120.8,124.1,130.1,135.2,135.0,137.1,137.6,138.1,137.6,138.9,140.1,,,,,,,,,,,,,,
WDU10150511                   ,WDU10150511                   ,"PPI Commodity data for Metals and metal products-Standard malleable iron castings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.2,105.8,107.2,104.4,103.5,107.8,111.5,113.5,116.2,118.5,121.4,126.8,133.4,137.9,139.1,141.8,143.0,148.1,151.7,156.0,158.2,168.1,183.2,209.4,216.5,249.7,227.0,242.8,262.1,,,,,,
WDU10150522                   ,WDU10150522                   ,"PPI Commodity data for Metals and metal products-Pearlitic malleable iron castings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1986-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150614                   ,WDU10150614                   ,"PPI Commodity data for Metals and metal products-Carbon and low alloy steel investment castings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.6,110.5,121.0,121.7,128.2,132.0,132.3,133.8,134.8,136.4,135.4,134.9,135.5,140.1,142.1,143.8,143.7,145.2,146.9,149.6,152.5,,,,,,,,,,,,,,
WDU10150621                   ,WDU10150621                   ,"PPI Commodity data for Metals and metal products-High alloy steel investment castings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,104.6,104.5,105.8,108.9,122.9,135.0,142.7,155.6,162.8,167.7,167.8,170.2,180.4,187.4,191.3,185.7,182.5,183.4,184.5,184.9,185.0,,,,,,,,,,,,,,
WDU10150623                   ,WDU10150623                   ,"PPI Commodity data for Metals and metal products-Hi-temp metal castings (iron, nickel, & cobalt base), not seasonally adjusted, discontinued",Index base: 1993.06 = 100,1993-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,103.3,106.6,107.9,109.3,110.0,111.0,111.6,111.7,106.5,,,,,,,,,,,,,,
WDU10150712                   ,WDU10150712                   ,"PPI Commodity data for Metals and metal products-Railroad wheels and specialties, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2002-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,100.7,99.4,98.3,98.3,100.3,109.6,110.1,115.1,117.3,125.1,132.3,145.5,148.9,144.4,139.7,138.4,135.0,130.0,130.0,,,,,,,,,,,,,,,
WDU10150736                   ,WDU10150736                   ,"PPI Commodity data for Metals and metal products-All other carbon steel castings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.3,104.0,104.2,104.2,104.6,106.3,109.9,113.7,117.7,118.7,124.3,128.6,131.6,135.0,137.0,139.8,142.4,145.8,146.4,147.0,150.0,,,,,,,,,,,,,,
WDU10150818                   ,WDU10150818                   ,"PPI Commodity data for Metals and metal products-Other steel castings, high alloy & stainless steel, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.3,101.7,101.7,100.7,100.7,116.7,125.8,125.4,120.4,122.4,120.6,122.6,127.7,136.3,140.1,138.9,135.7,134.2,134.9,135.2,136.0,,,,,,,,,,,,,,
WDU10150907                   ,WDU10150907                   ,"PPI Commodity data for Metals and metal products-Railway specialties and rolls for rolling mills, not seasonally adjusted, discontinued",Index base: 1982 = 100,1986-M07,1990-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,111.4,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10150917                   ,WDU10150917                   ,"PPI Commodity data for Metals and metal products-All other low alloy steel castings, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.9,102.6,104.0,104.0,103.0,107.2,114.1,118.4,122.3,124.7,127.3,128.8,132.4,136.3,138.8,140.7,142.0,141.1,142.7,140.4,140.2,,,,,,,,,,,,,,
WDU10151151                   ,WDU10151151                   ,"PPI Commodity data for Metals and metal products-Closed die forgings, carbon steel, not seasonally adjusted, discontinued",Index base: 1967 = 100,1961-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,,91.0,91.3,91.7,93.7,95.8,97.6,100.0,104.6,108.7,115.3,123.1,135.9,143.3,169.1,200.4,223.2,246.6,273.7,310.0,349.2,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10151153                   ,WDU10151153                   ,"PPI Commodity data for Metals and metal products-Closed die forgings, alloy steel, not seasonally adjusted, discontinued",Index base: 1967 = 100,1962-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,92.8,93.2,95.0,95.3,97.9,100.0,102.0,108.1,117.1,122.9,130.5,136.9,161.8,191.9,215.2,235.9,264.5,297.8,337.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101512                     ,WDU101512                     ,"PPI Commodity data for Metals and metal products-Open die or smith forgings, ferrous, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1982-M06,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,98.9,94.9,90.9,89.6,92.0,98.6,97.3,97.8,97.0,96.4,97.2,101.0,105.0,106.7,107.1,101.6,103.6,105.2,99.1,99.3,109.9,,,,,,,,,,,,,
WDU10151261                   ,WDU10151261                   ,"PPI Commodity data for Metals and metal products-Carbon steel, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1984-M01,1994-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.7,98.7,89.6,89.6,91.7,106.3,101.4,101.6,99.0,96.4,97.2,,,,,,,,,,,,,,,,,,,,,,,
