2023-07-28 06:00:43 PM inconsistent: 1
2023-07-28 06:00:43 PM Total desc_e inconsistent: 1
2023-07-28 06:00:43 PM Total desc_c inconsistent: 0
2023-07-28 06:00:43 PM Total freq inconsistent: 0
2023-07-28 06:00:43 PM Total unit inconsistent: 0
2023-07-28 06:00:43 PM Total type inconsistent: 0
2023-07-28 06:00:43 PM Total source inconsistent: 0
2023-07-28 06:00:43 PM Total form_e inconsistent: 0
2023-07-28 06:00:43 PM Total form_c inconsistent: 0
2023-07-28 06:00:43 PM inconsistent earliest: 1989
2023-07-28 06:00:43 PM base updated: 0
2023-07-28 06:00:43 PM data updated: 7220
2023-07-28 06:00:43 PM including weekly: False
2023-07-28 06:00:43 PM too many months: False
2023-07-28 06:01:28 PM unfound: 2813
