index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5051500002    ,CEU5051500002    ,50515000,2,2006-M03,2022-M04,35.8,35.3,36.2,36.6,36.6,36.1,35.7,35.1,34.8,34.8,35.0,35.1,35.6,35.9,35.3
CEU5051500003    ,CEU5051500003    ,50515000,3,2006-M03,2022-M04,26.39,26.82,27.62,28.92,28.93,30.11,30.49,31.28,33.85,35.1,35.4,37.14,40.25,40.01,41.69
CEU5051500011    ,CEU5051500011    ,50515000,11,2006-M03,2022-M04,945.5,946.46,999.56,1057.11,1058.97,1088.18,1087.5,1098.5,1178.15,1219.86,1238.35,1304.94,1432.08,1437.13,1469.92
CEU5051500012    ,CEU5051500012    ,50515000,12,2006-M03,2022-M04,456.01,439.59,465.91,484.79,470.78,473.96,466.82,464.02,497.07,508.26,505.2,519.67,560.16,555.28,542.47
CEU5051500013    ,CEU5051500013    ,50515000,13,2006-M03,2022-M04,12.73,12.46,12.87,13.26,12.86,13.11,13.09,13.21,14.28,14.62,14.44,14.79,15.74,15.46,15.39
CEU5051500016    ,CEU5051500016    ,50515000,16,2006-M03,2022-M04,100.0,96.5,93.3,91.1,88.9,88.4,86.8,85.2,82.6,80.7,80.4,81.3,81.5,76.1,71.5
CEU5051500017    ,CEU5051500017    ,50515000,17,2006-M03,2022-M04,100.0,98.1,97.7,99.8,97.5,100.9,100.3,101.0,106.0,107.3,107.9,114.5,124.3,115.4,113.0
CEU5051500056    ,CEU5051500056    ,50515000,56,2006-M03,2022-M04,11655.0,11246.0,10875.0,10613.0,10365.0,10302.0,10119.0,9931.0,9628.0,9400.0,9375.0,9479.0,9495.0,8873.0,8333.0
CEU5051500057    ,CEU5051500057    ,50515000,57,2006-M03,2022-M04,307515.0,301589.0,300385.0,306898.0,299910.0,310185.0,308525.0,310611.0,325946.0,329973.0,331857.0,352072.0,382150.0,354983.0,347366.0
CEU5051511002    ,CEU5051511002    ,50515110,2,2006-M03,2022-M04,32.1,31.1,31.3,32.3,33.2,33.2,33.0,32.6,32.5,32.4,32.3,32.5,32.0,32.8,32.3
CEU5051511003    ,CEU5051511003    ,50515110,3,2006-M03,2022-M04,24.35,26.63,27.0,26.72,28.4,29.66,28.55,29.83,33.05,33.58,33.5,35.77,37.13,35.28,38.17
CEU5051511011    ,CEU5051511011    ,50515110,11,2006-M03,2022-M04,782.83,828.71,845.96,863.86,942.96,984.58,942.32,972.74,1072.79,1086.51,1083.52,1161.87,1188.43,1156.59,1234.58
CEU5051511012    ,CEU5051511012    ,50515110,12,2006-M03,2022-M04,377.55,384.9,394.32,396.16,419.21,428.84,404.5,410.9,452.62,452.7,442.04,462.7,464.85,446.89,455.62
CEU5051511013    ,CEU5051511013    ,50515110,13,2006-M03,2022-M04,11.74,12.37,12.59,12.25,12.63,12.92,12.26,12.6,13.94,13.99,13.67,14.24,14.52,13.63,14.09
CEU5051511016    ,CEU5051511016    ,50515110,16,2006-M03,2022-M04,100.0,94.2,85.6,84.4,86.7,85.2,84.1,82.5,79.6,77.5,76.0,75.5,73.5,66.8,61.2
CEU5051511017    ,CEU5051511017    ,50515110,17,2006-M03,2022-M04,100.0,103.0,94.9,92.6,101.1,103.7,98.6,101.1,108.0,106.9,104.5,110.8,112.0,96.8,95.9
CEU5051511056    ,CEU5051511056    ,50515110,56,2006-M03,2022-M04,3546.0,3341.0,3036.0,2993.0,3075.0,3020.0,2982.0,2925.0,2821.0,2748.0,2694.0,2676.0,2605.0,2370.0,2169.0
CEU5051511057    ,CEU5051511057    ,50515110,57,2006-M03,2022-M04,86347.0,88962.0,81959.0,79972.0,87310.0,89556.0,85139.0,87255.0,93234.0,92281.0,90249.0,95700.0,96728.0,83602.0,82779.0
CEU5051700002    ,CEU5051700002    ,50517000,2,2006-M03,2022-M04,39.3,39.8,39.3,39.6,39.2,38.9,38.6,38.9,38.5,37.9,38.1,37.5,36.7,36.7,38.4
CEU5051700003    ,CEU5051700003    ,50517000,3,2006-M03,2022-M04,28.37,28.34,27.93,28.99,30.59,30.17,30.4,30.96,31.04,32.27,33.56,36.15,38.65,39.53,39.18
CEU5051700011    ,CEU5051700011    ,50517000,11,2006-M03,2022-M04,1116.16,1126.89,1097.34,1148.61,1198.01,1174.57,1172.83,1205.77,1195.86,1223.88,1278.61,1354.96,1417.79,1452.44,1505.21
CEU5051700012    ,CEU5051700012    ,50517000,12,2006-M03,2022-M04,538.32,523.4,511.49,526.75,532.59,511.59,503.45,509.33,504.55,509.94,521.63,539.59,554.57,561.2,555.49
CEU5051700013    ,CEU5051700013    ,50517000,13,2006-M03,2022-M04,13.68,13.16,13.02,13.29,13.6,13.14,13.05,13.08,13.1,13.45,13.69,14.4,15.12,15.27,14.46
CEU5051700016    ,CEU5051700016    ,50517000,16,2006-M03,2022-M04,100.0,100.0,93.6,88.2,84.4,82.3,81.2,80.5,77.0,74.9,73.4,69.3,64.7,62.3,63.2
CEU5051700017    ,CEU5051700017    ,50517000,17,2006-M03,2022-M04,100.0,99.9,92.1,90.2,91.0,87.5,87.0,87.9,84.3,85.2,86.8,88.3,88.1,86.9,87.2
CEU5051700056    ,CEU5051700056    ,50517000,56,2006-M03,2022-M04,40546.0,40533.0,37942.0,35769.0,34209.0,33358.0,32914.0,32657.0,31239.0,30381.0,29749.0,28103.0,26216.0,25272.0,25615.0
CEU5051700057    ,CEU5051700057    ,50517000,57,2006-M03,2022-M04,1150334.0,1148800.0,1059730.0,1037116.0,1046634.0,1006365.0,1000700.0,1010980.0,969705.0,980427.0,998299.0,1015776.0,1013202.0,999108.0,1003637.0
CEU5051730002    ,CEU5051730002    ,50517300,2,2006-M03,2022-M04,39.7,40.2,39.6,39.9,39.3,38.9,38.6,39.0,38.5,37.8,38.0,37.4,36.4,36.4,38.5
CEU5051730003    ,CEU5051730003    ,50517300,3,2006-M03,2022-M04,28.19,27.96,27.1,28.12,29.88,29.72,30.23,30.88,30.78,32.04,32.77,35.43,38.19,39.36,39.07
