index,Index,Label,unit,start,last,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU3219113219113              ,PCU3219113219113              ,"PPI industry data for Wood window and door manufacturing-Wood sash, excluding sash shipped in window units, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2021-M11,,,,,,,,,,,,,,,,,,,,106.5,113.6,117.4,122.3,125.0,130.8,141.3,153.4,161.9,162.6,166.0,169.6,161.7,167.8,163.5,172.5,181.8,175.2,195.8,202.7,211.0,211.1,205.4,207.6,216.1,223.8,234.1,237.7,245.5,253.9,253.2,257.7,267.3,273.5,277.9
PCU3219113219115              ,PCU3219113219115              ,"PPI industry data for Wood window and door manufacturing-Wood window & door frames, incl. door frames in door units, excl. window frames in window units, not seasonally adjusted",Index base: 1983.06 = 100,1967-M01,2021-M11,24.4,26.0,33.7,31.6,33.9,37.5,41.9,47.1,45.9,56.2,65.6,80.3,82.9,80.7,90.3,90.1,,,,,,,104.1,98.1,113.1,131.5,147.0,147.8,142.8,148.9,147.7,135.3,138.1,134.1,135.3,135.3,130.6,161.7,147.1,153.5,144.8,137.1,133.9,143.5,146.8,153.8,163.7,171.8,169.0,164.9,177.8,182.1,176.8,176.3
PCU3219113219117              ,PCU3219113219117              ,"PPI industry data for Wood window and door manufacturing-Wood panel, flush, & molded face doors, interior & exterior, incl. doors with glazed sections, not seasonally adjusted",Index base: 1983.06 = 100,1972-M01,2021-M11,,,,,,43.5,48.8,52.6,51.9,58.7,65.2,72.2,80.3,85.6,91.6,93.8,100.1,104.3,103.8,104.6,107.6,110.6,117.9,121.8,125.2,130.1,144.4,155.1,157.3,158.1,159.4,159.3,163.1,164.5,164.8,164.2,164.4,168.5,170.7,175.0,176.6,173.6,175.2,173.5,178.1,188.3,190.3,196.7,206.4,211.5,220.5,226.2,233.1,242.9
PCU3219113219119              ,PCU3219113219119              ,"PPI industry data for Wood window and door manufacturing-Other wood doors, incl. garage, patio, bifold, cabinet, screen, storm and louver, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2021-M11,,,,,,,,,,,,,,,,,,101.9,102.9,104.7,108.7,113.3,119.6,122.8,126.9,129.6,139.6,147.5,150.3,152.3,154.5,157.3,158.4,160.5,165.6,166.0,169.3,173.5,178.8,183.3,187.3,190.8,194.2,195.7,195.7,196.7,198.9,204.5,213.1,216.2,218.4,235.7,239.3,241.4
PCU321911321911M              ,PCU321911321911M              ,"PPI industry data for Wood window and door manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,101.1,105.7,105.4,101.9,101.2,101.4,105.8,114.4,,,,,,,,
PCU321911321911P              ,PCU321911321911P              ,"PPI industry data for Wood window and door manufacturing-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,102.5,105.8,106.5,107.1,108.6,110.0,111.9,117.3,119.8,123.7,128.3,130.8,134.3,140.4,144.1,147.9
PCU321911321911S              ,PCU321911321911S              ,"PPI industry data for Wood window and door manufacturing-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1,112.3,117.6,117.6,118.5,123.5,125.3,125.8,126.4,127.3,130.7,135.6,134.8,136.9,143.3,142.1,144.2
PCU321912321912               ,PCU321912321912               ,"PPI industry data for Cut stock, resawing lumber, and planing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2,105.4,104.3,106.0,105.8,98.3,101.5,102.1,101.6,109.9,120.2,116.1,116.2,124.8,134.4,131.3,138.5
PCU3219123219121              ,PCU3219123219121              ,"PPI industry data for Cut stock, resawing lumber, and planing-Hardwood lumber, made from purchased lumber, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2020-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,93.6,90.1,90.6,87.0,83.0,91.3,89.4,88.3,96.6,105.2,107.4,108.1,111.0,112.4,109.9,
PCU3219123219123              ,PCU3219123219123              ,"PPI industry data for Cut stock, resawing lumber, and planing-Softwood lumber, made from purchased lumber, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.9,111.2,112.2,117.5,121.1,107.6,110.0,110.6,113.8,119.4,123.1,121.1,123.5,142.2,161.5,158.1,178.7
PCU3219123219126              ,PCU3219123219126              ,"PPI industry data for Cut stock, resawing lumber, and planing-Hardwood cut stock and dimension, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,98.4,98.4,103.2,107.8,111.9,120.6,121.3,125.2,140.1,147.1,150.2,149.2,154.2,155.7,157.5,162.0,164.1,162.7,163.7,169.9,172.7,173.2,171.0,168.9,162.2,163.2,166.4,165.9,196.6,247.9,217.9,212.4,223.9,234.4,228.6,228.5
PCU3219123219128              ,PCU3219123219128              ,"PPI industry data for Cut stock, resawing lumber, and planing-Softwood cut stock and dimension, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,107.8,110.8,116.6,110.2,117.8,131.1,154.8,161.3,155.8,148.5,164.5,173.2,170.8,165.4,158.8,158.9,159.1,167.4,173.1,171.9,169.7,168.9,167.3,171.0,167.7,159.8,167.5,170.4,164.1,164.3,176.0,187.4,167.7,193.5
PCU3219123219129              ,PCU3219123219129              ,"PPI industry data for Cut stock, resawing lumber, and planing-Sawn wood fence stock, wood lath, and contract resawing and planing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,103.8,104.3,110.3,121.0,116.5,112.8,,,,90.9,93.1,93.1,106.6,130.3,132.2,132.2
PCU321912321912P              ,PCU321912321912P              ,"PPI industry data for Cut stock, resawing lumber, and planing-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4,105.1,104.6,106.3,106.8,99.5,102.8,102.4,101.7,111.1,122.8,117.8,117.9,127.6,137.8,133.6,141.8
PCU321912321912S              ,PCU321912321912S              ,"PPI industry data for Cut stock, resawing lumber, and planing-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2012-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,106.6,101.5,100.9,101.8,99.1,99.2,101.4,104.1,,,,,,,,
PCU321918321918               ,PCU321918321918               ,"PPI industry data for Other millwork, including flooring, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.8,110.0,109.2,108.4,109.1,107.5,110.5,111.1,111.6,118.8,124.7,125.0,124.0,123.7,124.8,128.3,128.4
PCU3219183219182              ,PCU3219183219182              ,"PPI industry data for Other millwork, including flooring-Wood moldings, not seasonally adjusted",Index base: 1983.06 = 100,1975-M12,2021-M11,,,,,,,,,,51.7,52.5,88.8,88.2,78.8,78.5,81.7,100.7,93.4,100.0,101.1,111.2,113.4,115.2,110.8,119.6,139.3,168.8,160.9,147.6,147.0,153.6,149.4,155.5,152.0,156.7,158.6,154.8,180.8,181.2,183.7,186.2,191.5,188.2,191.4,191.5,192.7,202.6,206.2,205.9,205.1,206.6,210.5,218.2,226.0
PCU3219183219185              ,PCU3219183219185              ,"PPI industry data for Other millwork, including flooring-Other wood millwork products, including stairwork, exterior millwork, and softwood flooring, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,106.3,109.6,109.2,109.5,107.2,105.6,105.4,105.8,105.3,109.5,112.6,115.8,121.9,114.9,111.1,110.4
PCU3219183219187              ,PCU3219183219187              ,"PPI industry data for Other millwork, including flooring-Hardwood flooring, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,98.3,97.4,102.3,104.5,102.9,106.5,104.0,113.8,129.7,136.8,135.7,129.5,143.1,157.2,147.6,148.0,147.3,141.4,155.6,172.4,168.0,160.3,154.1,152.4,149.8,163.0,163.3,161.9,184.8,199.7,196.0,188.7,179.2,185.1,194.3,189.1
PCU32191832191872             ,PCU32191832191872             ,"PPI industry data for Other millwork, including flooring-Hardwood flooring, other than oak and maple, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9,108.8,110.4,108.7,108.7,108.6,111.6,114.1,114.9,121.9,132.9,137.5,131.9,131.6,134.4,142.5,138.2
PCU32191832191873             ,PCU32191832191873             ,"PPI industry data for Other millwork, including flooring-Oak and maple hardwood flooring, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,101.8,98.5,,,,,,108.5,128.9,132.5,126.4,121.4,133.8,147.4,135.4,136.3,140.5,133.5,149.7,168.4,158.9,145.8,137.9,135.3,131.5,148.6,147.0,144.6,166.7,180.0,175.3,168.8,159.2,164.7,172.5,168.1
PCU321918321918M              ,PCU321918321918M              ,"PPI industry data for Other millwork, including flooring-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,101.4,96.8,96.4,97.9,,97.3,97.9,,,,,,,,,
PCU321918321918P              ,PCU321918321918P              ,"PPI industry data for Other millwork, including flooring-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3,108.4,108.2,107.4,108.4,106.4,109.8,110.0,109.9,117.7,123.6,123.4,122.2,121.7,122.5,125.9,125.5
PCU321918321918S              ,PCU321918321918S              ,"PPI industry data for Other millwork, including flooring-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4,131.1,126.9,124.5,121.1,121.3,124.0,129.9,134.9,138.8,150.1,158.8,159.8,165.8,175.7,,197.0
PCU32192-32192-               ,PCU32192-32192-               ,"PPI industry data for Wood container and pallet manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,107.1,110.9,109.9,111.7,110.8,114.7,117.2,119.6,123.9,130.8,132.4,131.8,133.2,143.4,151.5,152.8
PCU321920321920               ,PCU321920321920               ,"PPI industry data for Wood container and pallet manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,107.1,110.9,109.9,111.7,110.8,114.7,117.2,119.6,123.9,130.8,132.4,131.8,133.2,143.4,151.5,152.8
PCU3219203219201              ,PCU3219203219201              ,"PPI industry data for Wood container and pallet manufacturing-Nailed and lock-corner wood boxes, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,101.0,101.6,102.8,106.5,107.3,108.5,110.2,116.8,121.6,122.9,122.5,123.5,124.6,126.5,126.5,125.9,125.5,128.5,146.9,149.6,156.8,155.8,158.6,159.6,159.6,174.3,169.4,166.4,168.2,168.2,168.2,168.2,168.2,168.2,165.4
PCU3219203219203              ,PCU3219203219203              ,"PPI industry data for Wood container and pallet manufacturing-Wood box and crate shook, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,100.3,102.2,112.2,113.5,114.3,118.3,122.8,138.7,139.4,137.6,134.9,136.0,,,,,,,148.7,150.7,148.3,146.5,147.6,,146.8,156.9,159.6,159.9,161.2,158.8,158.0,160.5,166.6,176.0,177.9
PCU3219203219205              ,PCU3219203219205              ,"PPI industry data for Wood container and pallet manufacturing-Wood pallets and pallet containers, wood and metal combination, not seasonally adjusted",Index base: 2003.12 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,108.2,112.5,110.0,111.4,109.7,114.0,115.8,117.9,123.1,132.2,133.9,132.6,133.9,145.3,155.1,156.2
PCU3219203219207              ,PCU3219203219207              ,"PPI industry data for Wood container and pallet manufacturing-Other wood container parts and wood containers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.5,102.7,106.0,109.8,111.8,118.8,120.2,125.1,128.3,130.6,131.5,132.1,133.1,135.6,139.1,150.1
PCU321920321920M              ,PCU321920321920M              ,"PPI industry data for Wood container and pallet manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,107.3,117.4,117.4,117.3,117.3,116.9,120.2,128.6,134.9,138.3,145.2,151.6,153.8,179.6,187.2,175.0
PCU321920321920P              ,PCU321920321920P              ,"PPI industry data for Wood container and pallet manufacturing-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,107.3,110.9,109.5,111.3,110.4,114.7,117.3,119.4,123.5,130.8,132.1,131.2,132.4,141.6,150.0,152.1
PCU321920321920S              ,PCU321920321920S              ,"PPI industry data for Wood container and pallet manufacturing-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,103.2,100.1,107.3,113.6,,114.7,111.5,114.4,118.6,117.4,115.9,,,,,133.6
PCU32199-32199-               ,PCU32199-32199-               ,"PPI industry data for All other wood product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,111.3,115.9,118.0,122.3,122.1,122.1,124.4,128.5,133.2,137.1,139.2,139.1,142.7,149.4,155.1,159.2
PCU321991321991               ,PCU321991321991               ,"PPI industry data for Manufactured home, mobile home, manufacturing, not seasonally adjusted",Index base: 1981.06 = 100,1974-M12,2021-M11,,,,,,,,,65.4,69.2,74.8,81.0,88.5,96.3,100.5,104.3,105.3,105.2,106.1,107.1,108.7,113.9,118.7,122.5,125.5,126.6,132.3,142.1,151.0,155.3,157.8,159.9,164.2,167.1,170.0,172.6,175.8,190.0,204.4,212.4,214.7,222.6,226.3,232.4,240.5,249.7,261.7,267.9,274.3,276.9,286.1,302.5,322.7,342.0
PCU3219913219911              ,PCU3219913219911              ,"PPI industry data for Manufactured home, mobile home, manufacturing-Manufactured homes (mobile homes), all width sizes (incl. multisection), not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2021-M11,,,,,,,,,,,,,,,,104.4,105.5,105.4,106.2,107.2,108.8,113.9,118.8,122.8,125.9,127.8,133.5,143.5,152.7,157.2,159.8,161.9,166.3,169.2,172.1,174.7,177.9,192.0,205.8,212.9,215.3,221.8,226.2,232.6,240.6,249.4,261.2,268.0,274.6,277.4,286.6,303.0,323.4,342.8
PCU321991321991P              ,PCU321991321991P              ,"PPI industry data for Manufactured home, mobile home, manufacturing-Primary products, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2021-M11,,,,,,,,,,,,,,,,104.3,105.3,105.2,106.0,107.0,108.7,113.8,118.7,122.4,125.4,126.5,132.2,142.0,151.0,155.3,157.8,159.9,164.2,167.1,170.0,172.6,175.8,190.0,204.3,212.4,214.7,222.6,226.2,232.3,240.5,249.7,261.5,267.8,274.2,276.9,286.0,302.3,322.8,342.1
PCU321991321991S              ,PCU321991321991S              ,"PPI industry data for Manufactured home, mobile home, manufacturing-Secondary products, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,101.3,102.3,106.9,110.5,111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU321991321991SS             ,PCU321991321991SS             ,"PPI industry data for Manufactured home, mobile home, manufacturing-Secondary products, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,1986-M13,,,,,,,,,,,,,,,,101.3,102.3,106.9,110.5,111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU321992321992               ,PCU321992321992               ,"PPI industry data for Prefabricated wood building manufacturing, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.3,103.9,105.3,108.2,111.4,114.3,119.2,124.4,136.5,148.0,155.0,158.1,163.8,167.4,173.3,178.7,183.5,188.4,193.9,205.7,213.9,221.4,224.2,230.8,229.5,226.0,227.2,234.4,241.4,246.2,250.1,253.0,263.4,279.1,286.5,294.7
PCU3219923219921              ,PCU3219923219921              ,"PPI industry data for Prefabricated wood building manufacturing-Prefabricated stationary wood buildings, components (not sold as complete units), not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,101.4,106.8,112.9,118.3,129.6,138.3,142.7,146.5,146.6,155.0,161.0,162.5,167.4,179.4,191.8,192.6,186.9,185.3,189.4,175.9,155.3,149.2,157.5,161.9,165.3,166.8,167.8,169.0,171.1,172.3,172.6
PCU3219923219925              ,PCU3219923219925              ,"PPI industry data for Prefabricated wood building manufacturing-Prefabricated stationary wood buildings, shipped in panel form (complete units), not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.7,104.2,106.6,110.5,116.8,119.6,123.2,128.1,141.8,151.5,155.4,156.6,160.8,163.3,166.8,171.7,174.9,176.3,179.8,208.3,223.2,229.1,217.1,225.9,225.4,229.2,230.7,236.4,244.1,246.7,250.5,256.0,268.8,285.0,288.5,305.8
PCU3219923219926              ,PCU3219923219926              ,"PPI industry data for Prefabricated wood building manufacturing-Prefabricated stationary wood buildings, precut packages (complete units), not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.6,105.5,104.8,109.4,110.6,112.4,118.5,125.2,141.5,156.3,164.6,171.3,184.8,193.8,199.5,204.7,212.3,220.6,227.4,231.4,235.2,246.6,249.0,258.0,247.4,234.2,235.5,250.4,260.0,265.4,272.4,277.4,291.8,321.6,331.4,340.1
PCU3219923219927              ,PCU3219923219927              ,"PPI industry data for Prefabricated wood building manufacturing-Prefabricated stationary wood buildings, shipped in three-dimensional assemblies, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.6,105.4,107.9,108.5,109.3,112.4,117.7,121.2,127.8,132.6,137.2,138.8,141.5,143.8,150.1,155.6,159.5,164.1,168.4,177.5,186.5,195.0,204.3,207.6,210.3,210.7,212.9,217.5,225.2,231.1,235.5,237.1,245.2,256.5,268.3,279.9
PCU32199232199271             ,PCU32199232199271             ,"PPI industry data for Prefabricated wood building manufacturing-Prefabricated stationary wood buildings, three-dimensional assemblies, residential, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.8,105.9,109.3,110.0,111.1,112.5,114.4,117.2,122.9,129.2,135.7,137.5,140.4,142.7,147.8,153.2,157.8,161.8,166.5,177.2,186.4,193.6,201.0,202.6,203.8,203.8,204.1,210.2,219.7,226.6,231.3,233.3,242.1,252.6,264.3,276.0
PCU32199232199272             ,PCU32199232199272             ,"PPI industry data for Prefabricated wood building manufacturing-Prefabricated stationary wood buildings, three-dimensional assemblies, nonresidential, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.2,103.9,104.4,104.4,104.4,,,,,,,,,,156.7,162.7,163.3,168.8,171.9,176.5,185.0,196.8,217.0,229.8,240.4,243.0,255.6,255.3,258.5,261.9,265.8,266.3,,289.9,303.2,314.4
PCU321992321992M              ,PCU321992321992M              ,"PPI industry data for Prefabricated wood building manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1998.06 = 100,1998-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,103.4,109.0,110.8,114.5,117.9,118.4,120.6,123.3,133.5,151.2,151.2,151.2,,,,,,,,192.6,201.6
PCU321992321992MM             ,PCU321992321992MM             ,"PPI industry data for Prefabricated wood building manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1998.06 = 100,1998-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,103.4,109.0,110.8,114.5,,,,,,,,,,,,,,,,,
PCU321992321992P              ,PCU321992321992P              ,"PPI industry data for Prefabricated wood building manufacturing-Primary products, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,,,,,,,,,,101.4,104.0,105.4,108.4,111.9,114.6,119.8,125.0,135.9,145.7,151.8,154.9,160.7,164.4,170.4,175.9,180.5,185.4,190.9,203.2,211.9,219.7,222.4,228.5,226.0,222.0,222.8,230.6,238.4,243.2,247.4,250.4,259.1,271.3,277.6,284.6
PCU321992321992S              ,PCU321992321992S              ,"PPI industry data for Prefabricated wood building manufacturing-Secondary products, not seasonally adjusted",Index base: 1992.08 = 100,1992-M08,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.1,163.9,165.6,175.8,177.0,178.9,178.8,183.3,185.2,187.0,189.9,191.2,190.7,190.2,197.0,194.4,200.3,208.4,,,,,,,290.0,,
PCU321992321992SS             ,PCU321992321992SS             ,"PPI industry data for Prefabricated wood building manufacturing-Secondary products, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,1988-M05,,,,,,,,,,,,,,,,,,,100.5,101.3,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU321999321999               ,PCU321999321999               ,"PPI industry data for Miscellaneous wood product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,105.7,111.2,115.8,120.5,117.3,113.8,113.8,116.4,119.8,124.8,125.5,122.9,123.6,127.0,129.9,129.6
PCU3219993219990              ,PCU3219993219990              ,"PPI industry data for Miscellaneous wood product manufacturing-All other miscellaneous wood products, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,102.8,106.7,112.8,117.6,121.1,116.0,111.9,111.5,114.2,117.9,123.1,123.2,119.9,120.6,124.2,127.0,126.7
PCU321999321999M              ,PCU321999321999M              ,"PPI industry data for Miscellaneous wood product manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2018-M07,,,,,,,,,,,,,,,,,,,104.8,111.1,125.3,127.9,142.5,151.2,166.0,179.6,184.3,191.0,196.2,196.0,196.0,196.0,195.9,195.9,195.9,196.0,196.0,199.4,203.4,207.8,218.9,233.3,240.6,233.2,235.6,236.2,237.9,241.1,255.4,260.1,261.3,,,
PCU321999321999P              ,PCU321999321999P              ,"PPI industry data for Miscellaneous wood product manufacturing-Primary products, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,101.7,103.1,105.1,109.5,113.0,115.7,119.5,121.9,125.6,130.7,137.8,140.6,143.9,145.9,147.1,149.1,151.4,153.3,153.6,157.3,163.3,172.6,180.0,185.3,177.5,171.2,170.6,174.8,180.4,188.4,188.5,183.5,184.6,190.0,194.3,193.9
PCU321999321999S              ,PCU321999321999S              ,"PPI industry data for Miscellaneous wood product manufacturing-Secondary products, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M10,,,,,,,,,,,,,,,,,,,104.9,107.2,107.5,110.3,115.0,121.3,126.3,125.9,128.4,130.2,132.8,133.0,133.5,137.8,142.6,143.4,144.2,144.3,145.0,150.6,153.7,154.8,157.1,176.4,184.7,189.0,192.1,192.4,196.6,213.3,206.6,207.2,212.0,213.8,221.0,
