index,Index,Label,unit,start,last,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU3222193222198              ,PCU3222193222198              ,"PPI industry data for Other paperboard container manufacturing-Fiber cans, tubes, and similar fiber products, not seasonally adjusted",Index base: 1985.12 = 100,1975-M12,2022-M02,,,,,,,,,,,,,,,,52.3,56.8,61.3,66.1,74.0,79.7,87.2,92.8,96.5,100.0,100.4,102.1,107.3,114.9,127.0,128.9,130.0,130.1,133.9,151.9,155.3,155.8,161.2,163.8,176.0,180.6,184.7,189.1,192.2,201.7,209.8,218.2,222.4,227.2,232.5,241.2,241.8,241.8,244.2,244.9,249.1,266.1,280.2,287.0,294.9,320.583
PCU32221932221981             ,PCU32221932221981             ,"PPI industry data for Other paperboard container manufacturing-Fiber cans, all fiber and composite, not seasonally adjusted",Index base: 1985.12 = 100,1963-M12,2022-M02,,,,28.7,29.0,28.5,29.2,30.0,30.6,31.7,32.8,33.9,35.7,42.0,48.9,52.3,56.8,61.3,66.1,74.0,79.7,87.2,92.8,96.5,100.0,99.9,100.0,105.8,115.9,133.6,136.2,133.5,131.6,132.9,141.5,144.3,141.2,144.3,145.2,150.8,156.7,159.4,162.9,165.7,176.0,188.4,194.9,,,209.3,214.8,216.3,223.9,228.5,229.2,232.6,240.5,253.8,263.3,271.2,279.522
PCU32221932221982             ,PCU32221932221982             ,"PPI industry data for Other paperboard container manufacturing-Fiber cores and tubes, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,105.0,109.2,112.9,116.0,116.6,122.0,123.3,129.3,156.3,160.5,163.5,170.7,174.0,190.9,194.7,199.7,205.6,210.3,219.5,225.5,235.4,241.9,244.5,249.9,260.3,260.6,255.9,256.6,257.3,261.6,284.9,300.3,305.3,313.3,350.88
PCU32221932221983             ,PCU32221932221983             ,"PPI industry data for Other paperboard container manufacturing-Paperboard cones, reels, spools, bobbins, blocks, and all vulcanized fiber products, not seasonally adjusted",Index base: 2002.12 = 100,2002-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,87.8,92.0,94.3,96.8,99.2,,104.2,111.3,111.0,113.1,116.5,117.7,,,127.9,130.5,131.6,141.473
PCU322219322219M              ,PCU322219322219M              ,"PPI industry data for Other paperboard container manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,99.7,99.5,100.478
PCU322219322219P              ,PCU322219322219P              ,"PPI industry data for Other paperboard container manufacturing-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,111.2,111.4,112.1,113.2,114.2,112.1,113.1,114.3,119.267
PCU32222-32222-               ,PCU32222-32222-               ,"PPI industry data for Paper bag and coated and treated paper mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,105.8,110.4,113.3,117.8,120.3,123.1,129.1,130.7,131.2,133.2,132.8,130.9,130.8,136.5,139.5,140.5,149.11
PCU322220322220               ,PCU322220322220               ,"PPI industry data for Paper bag and coated and treated paper manufacturing, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,99.8,101.3,101.0,99.5,99.4,103.8,106.0,106.8,113.344
PCU3222203222207              ,PCU3222203222207              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Wallcoverings, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,98.1,99.8,102.0,103.1,104.0,104.4,104.8,106.1,107.0,107.3,111.5,,,,,123.5,125.3,,,,,144.4,144.6,145.9,148.7,,,151.6,168.7,181.8,183.1,183.0,183.0,183.0,182.992
PCU3222203222208              ,PCU3222203222208              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Converted foil for nonpackaging applications, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6,94.3,88.5,92.4,92.3,93.7,96.5,98.635
PCU3222203222209              ,PCU3222203222209              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Other coated and processed papers, except for packaging uses, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,98.0,96.6,96.9,97.3,98.2,102.3,101.9,100.9,105.035
PCU322220322220B              ,PCU322220322220B              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Specialty bags, pouches, and liners, coated and single-web paper, not seasonally adjusted",Index base: 2014.12 = 100,2014-M12,2020-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,100.4,101.1,113.1,118.1,,
PCU322220322220C              ,PCU322220322220C              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Specialty bags, pouches, and liners, multiweb laminations and foil, except film-film, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7,128.3,127.8,130.4,150.2,144.2,141.6,139.6,140.5,145.1,147.3,147.2,155.2,160.5,184.2,192.1,,,,,,,206.2,211.6,212.9,212.5,210.2,217.6,224.9,225.5,238.631
PCU322220322220D              ,PCU322220322220D              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Uncoated single-web paper grocers' bags and sacks and variety and shopping bags, not seasonally adjusted",Index base: 1983.12 = 100,1967-M01,2022-M02,,,,,,,,,,,,,,,,65.9,67.7,76.8,89.5,100.3,,,,129.6,133.7,149.9,165.7,183.4,204.3,214.4,206.9,185.1,180.4,198.0,271.8,222.2,218.9,218.8,229.7,233.1,226.5,228.4,232.4,238.8,253.8,256.9,262.5,284.9,282.8,278.1,307.3,324.6,,,358.1,358.2,352.4,362.1,371.9,390.6,401.111
PCU322220322220D9             ,PCU322220322220D9             ,"PPI industry data for Paper bag and coated and treated paper manufacturing-All other uncoated paper bags and pouches (including specialty bags, mothproof bags, etc.), not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,110.4,,,,,,,,,
PCU322220322220E              ,PCU322220322220E              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Shipping sacks and multiwall bags, all materials, except textiles, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2016-M13,,,,,,,,,,,,,,,,,,,,,,,,105.9,105.6,109.5,123.2,138.7,152.3,155.9,162.9,164.6,167.3,168.7,186.8,188.7,186.2,187.7,189.8,197.8,199.0,198.4,198.1,201.2,207.7,217.2,220.7,233.2,237.0,250.2,264.5,270.8,,286.6,290.8,290.8,,,,,
PCU322220322220E1             ,PCU322220322220E1             ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Single and double wall shipping sacks and bags, all materials, except textiles, not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,108.2,,,,,,,,,
PCU322220322220E2             ,PCU322220322220E2             ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Multiwall (three-ply or more) shipping sacks and bags, all materials, except textiles, not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,104.0,,,,,,,,,
PCU322220322220F              ,PCU322220322220F              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Laminated aluminum foil rolls and sheets for flexible packaging uses, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,100.9,104.4,106.6,108.1,107.0,107.4,107.2,107.7,108.1,109.1,106.6,104.3,106.5,116.6,120.1,117.9,126.118
PCU322220322220G              ,PCU322220322220G              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Pasted, lined, laminated, or surface-coated paperboard, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,100.1,100.2,104.5,112.3,122.4,123.4,129.2,133.0,137.4,140.7,160.8,162.2,161.3,164.5,163.1,171.0,176.6,178.7,178.8,179.0,184.7,187.4,197.9,206.2,212.9,218.6,240.8,240.8,241.7,242.5,241.8,240.4,240.1,246.3,255.0,254.4,280.609
PCU322220322220H              ,PCU322220322220H              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Single-web paper, rolls and sheets, including waxed, for flexible packaging uses, not seasonally adjusted",Index base: 1987.12 = 100,1987-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5,116.2,117.0,117.4,116.3,115.6,119.7,140.5,138.4,137.5,140.2,137.8,142.2,140.7,140.9,142.6,146.7,155.0,164.3,165.5,167.6,170.2,172.1,178.0,182.3,181.4,182.8,181.7,179.3,180.4,196.7,209.9,209.8,220.975
PCU322220322220J              ,PCU322220322220J              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Multiweb laminated rolls and sheets, except foil, for flexible packaging uses, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,119.2,117.6,116.5,,,,118.5,120.1,119.6,119.4,121.3,123.6,123.3,137.299
PCU322220322220K              ,PCU322220322220K              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Printing paper, coated at establishments other than where paper was produced, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,100.7,107.4,106.4,108.9,115.7,121.1,126.8,131.0,132.7,138.2,141.6,144.2,164.6,171.6,173.8,177.5,179.3,173.9,172.3,170.3,168.0,,163.7,166.8,170.6,182.2,194.5,196.8,,,,212.3,208.1,208.2,206.9,226.2,222.7,239.0,243.511
PCU322220322220M              ,PCU322220322220M              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,112.9,129.6,126.9,116.4,111.6,110.6,106.0,105.5,132.634
PCU322220322220N              ,PCU322220322220N              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Pressure-sensitive products, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,101.2,105.1,107.1,108.2,109.4,115.0,121.4,124.5,129.0,129.9,130.0,132.2,137.5,141.3,139.9,138.4,138.7,142.4,144.7,144.1,143.1,146.1,154.0,160.8,162.0,167.4,173.0,178.5,186.9,189.3,186.0,186.4,184.4,181.9,180.9,188.3,193.7,194.2,206.27
PCU322220322220P              ,PCU322220322220P              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,98.9,99.7,99.5,98.9,98.9,103.6,105.8,106.7,112.411
PCU322220322220S              ,PCU322220322220S              ,"PPI industry data for Paper bag and coated and treated paper manufacturing-Secondary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.3,103.5,102.9,97.5,99.0,101.6,106.6,106.6,
PCU32223-32223-               ,PCU32223-32223-               ,"PPI industry data for Stationery product mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,106.8,110.5,114.7,120.2,122.9,123.7,126.8,128.8,131.1,133.5,133.6,135.1,136.3,143.7,149.5,148.5,154.437
PCU322230322230               ,PCU322230322230               ,"PPI industry data for Stationery product manufacturing, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.5,104.3,104.4,105.6,106.5,112.4,116.9,116.1,120.747
PCU3222303222304              ,PCU3222303222304              ,"PPI industry data for Stationery product manufacturing-Die-cut paper and paperboard office supplies, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,96.5,95.0,89.4,87.4,92.9,96.8,97.1,97.4,97.5,94.2,99.6,100.1,100.0,100.0,108.7,110.4,115.4,119.9,125.3,125.8,135.0,138.7,138.4,143.6,145.4,146.3,148.6,152.0,176.2,178.7,186.995
PCU3222303222305              ,PCU3222303222305              ,"PPI industry data for Stationery product manufacturing-Envelopes, commercial, all types and materials, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,99.6,100.7,102.3,108.6,114.4,114.3,111.7,107.8,107.0,107.5,124.9,123.2,122.4,121.9,121.3,126.3,128.8,126.7,129.5,130.1,134.0,138.3,142.4,148.0,150.4,152.2,153.6,155.7,156.6,163.3,165.4,167.3,169.1,174.5,182.6,182.8,190.731
PCU3222303222306              ,PCU3222303222306              ,"PPI industry data for Stationery product manufacturing-Paper supplies for business machines and other misc. unprinted office supplies, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2019-M01,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.1,105.9,111.1,111.2,108.6,109.1,112.3,116.1,127.2,126.5,123.3,115.9,114.8,125.0,119.2,112.9,123.8,126.6,142.4,159.5,172.3,188.9,195.8,194.4,194.4,199.6,212.5,207.4,200.6,205.4,205.0,235.4,,,
PCU3222303222307              ,PCU3222303222307              ,"PPI industry data for Stationery product manufacturing-Stationery, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2020-M07,,,,,,,,,,,,,,,,,,,,,,,,,,104.2,106.9,107.4,110.3,113.6,116.5,117.9,121.8,129.3,145.5,146.0,147.6,151.9,151.3,154.1,154.6,154.8,155.3,155.5,159.6,162.9,166.6,171.5,171.6,173.5,179.3,179.6,180.7,184.2,184.7,187.2,187.1,191.3,195.6,,
PCU3222303222309              ,PCU3222303222309              ,"PPI industry data for Stationery product manufacturing-Tablets, pads and related products, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,108.8,122.1,134.0,128.5,124.4,117.3,117.8,125.6,170.9,155.5,145.9,150.0,144.8,154.0,158.3,158.7,154.3,156.2,161.0,165.1,174.3,181.9,183.5,184.5,191.3,191.6,192.1,193.3,195.6,197.3,198.2,198.5,206.9,208.5,210.086
PCU32223032223093             ,PCU32223032223093             ,"PPI industry data for Stationery product manufacturing-Notebooks, bound with wire, staples, thread, or plastics, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2005-M06,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,106.9,119.1,126.1,117.5,116.5,109.1,108.7,111.7,145.2,134.4,122.9,126.8,120.0,125.7,129.2,129.9,130.0,129.5,,,,,,,,,,,,,,,,,
PCU32223032223094             ,PCU32223032223094             ,"PPI industry data for Stationery product manufacturing-Looseleaf paper fillers, school and commercial types, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2005-M06,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,114.2,131.6,142.4,136.4,136.9,124.4,118.1,123.5,194.8,166.7,155.9,160.7,147.3,179.4,190.3,194.7,196.6,195.2,,,,,,,,,,,,,,,,,
PCU32223032223099             ,PCU32223032223099             ,"PPI industry data for Stationery product manufacturing-All other miscellaneous tablets, pads, and related products, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2005-M06,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,100.8,102.9,114.1,110.0,117.5,121.9,123.4,138.7,145.5,150.7,139.5,140.2,133.5,141.6,146.5,147.3,146.2,146.0,,,,,,,,,,,,,,,,,
PCU322230322230M              ,PCU322230322230M              ,"PPI industry data for Stationery product manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,99.7,98.3,98.7,97.4,98.6,100.0,103.1,103.0,107.989
PCU322230322230P              ,PCU322230322230P              ,"PPI industry data for Stationery product manufacturing-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.7,104.8,104.8,106.2,107.0,113.1,117.7,116.8,121.384
PCU322230322230S              ,PCU322230322230S              ,"PPI industry data for Stationery product manufacturing-Secondary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,104.2,104.9,105.3,108.5,112.4,,119.3,
PCU32229-32229-               ,PCU32229-32229-               ,"PPI industry data for Other converted paper product mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,98.7,100.0,102.8,107.9,112.0,114.1,116.7,117.0,116.5,117.7,118.0,118.0,117.2,117.6,119.5,119.5,124.011
PCU322291322291               ,PCU322291322291               ,"PPI industry data for Sanitary paper product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,96.1,97.5,98.7,104.0,,111.5,113.1,113.0,112.5,112.4,111.9,111.6,110.6,111.1,112.6,112.5,115.019
PCU3222913222912              ,PCU3222913222912              ,"PPI industry data for Sanitary paper product manufacturing-Disposable diapers and similar disposable products, made from purchased sanitary paper stock, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,89.5,95.0,96.1,95.7,95.9,95.8,95.6,94.8,94.7,94.4,94.0,93.5,93.5,95.365
PCU3222913222915              ,PCU3222913222915              ,"PPI industry data for Sanitary paper product manufacturing-Sanitary tissue paper products, made from purchased sanitary paper stock or wadding, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,104.1,110.3,115.0,121.3,126.7,130.1,134.2,133.7,132.0,132.1,131.8,130.9,127.2,129.1,133.9,134.4,136.006
PCU322291322291M              ,PCU322291322291M              ,"PPI industry data for Sanitary paper product manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.7,173.2,171.0,186.128
PCU322291322291P              ,PCU322291322291P              ,"PPI industry data for Sanitary paper product manufacturing-Primary products, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,101.9,105.1,106.6,107.7,113.2,122.2,130.9,137.4,148.1,144.4,143.5,150.1,150.6,148.2,145.9,145.0,148.2,147.7,149.4,150.4,142.3,143.9,145.4,146.7,154.8,163.0,166.1,168.6,168.4,167.5,167.3,166.4,165.8,163.7,164.3,166.1,166.3,169.167
PCU322291322291S              ,PCU322291322291S              ,"PPI industry data for Sanitary paper product manufacturing-Secondary products, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,109.0,119.8,115.2,118.0,124.4,132.2,,,,,,,,,,,,,,156.7,153.8,158.9,167.3,171.9,163.1,,,159.4,,163.7,166.6,172.4,172.9,,,,,
PCU322291322291SS             ,PCU322291322291SS             ,"PPI industry data for Sanitary paper product manufacturing-Secondary products, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,1990-M06,,,,,,,,,,,,,,,,,,,,,,,,109.0,119.8,115.2,118.0,124.4,132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU322299322299               ,PCU322299322299               ,"PPI industry data for All other converted paper product mfg., not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,104.5,105.8,111.8,116.6,118.0,120.1,125.1,125.9,125.6,130.2,132.8,133.5,133.3,133.5,136.5,136.9,146.464
PCU3222993222991              ,PCU3222993222991              ,"PPI industry data for All other converted paper product mfg.-Molded pulp goods, including egg cartons, florist pots, food trays, etc., not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,107.6,114.8,120.1,122.4,124.7,125.7,,,,,,,,,137.4,138.8,152.442
PCU3222993222993              ,PCU3222993222993              ,"PPI industry data for All other converted paper product mfg.-Miscellaneous converted paper and paperboard products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,102.4,104.4,107.3,110.3,112.2,115.2,121.3,122.1,122.1,127.3,130.0,131.1,131.2,131.7,134.4,134.2,142.858
PCU322299322299M              ,PCU322299322299M              ,"PPI industry data for All other converted paper product mfg.-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2007-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2,115.1,100.0,,,,,,,,,,,,,,,
PCU322299322299P              ,PCU322299322299P              ,"PPI industry data for All other converted paper product mfg.-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,103.2,106.1,109.3,112.2,114.2,117.0,122.4,123.2,123.2,128.4,131.4,132.5,132.7,132.8,135.5,135.5,144.941
PCU322299322299S              ,PCU322299322299S              ,"PPI industry data for All other converted paper product mfg.-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2018-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,102.3,115.3,131.1,143.1,149.7,150.6,,163.5,164.9,164.3,153.3,155.7,155.7,,,,
